x,y
1764466013.91882,577,734
1764466013.9541209,568,725
1764466013.9889603,564,727
1764466014.0191247,547,739
1764466014.0687435,558,742
1764466014.1089933,571,741
1764466014.1336787,575,746
1764466014.1536279,583,763
1764466014.1889067,593,777
1764466014.21933,575,774
1764466014.2490025,574,772
1764466014.2795558,560,758
1764466014.308981,568,751
1764466014.348983,574,739
1764466014.3895984,578,739
1764466014.4289157,576,742
1764466014.4686623,567,734
1764466014.498625,570,734
1764466014.5336013,575,741
1764466014.5677419,587,740
1764466014.5981085,590,736
1764466014.6338658,581,732
1764466014.6637428,587,745
1764466014.6933618,590,760
1764466014.7335584,594,762
1764466014.773957,562,747
1764466014.8131285,543,737
1764466014.8384058,521,720
1764466014.8638284,522,722
1764466014.898459,520,724
1764466014.9332323,530,738
1764466014.968604,533,741
1764466014.9982219,542,737
1764466015.0290008,537,738
1764466015.073489,526,741
1764466015.1088023,512,735
1764466015.1387033,505,727
1764466015.173321,504,728
1764466015.203836,501,744
1764466015.243585,510,768
1764466015.2739863,518,783
1764466015.3036823,510,786
1764466015.3389478,502,783
1764466015.367978,495,777
1764466015.3983388,491,773
1764466015.4282541,487,773
1764466015.4638376,484,773
1764466015.5033772,486,778
1764466015.5438242,495,784
1764466015.5787117,507,768
1764466015.6136763,508,755
1764466015.6434014,494,744
1764466015.6737225,495,727
1764466015.70292,505,729
1764466015.7328541,514,736
1764466015.7631772,513,746
1764466015.793454,510,747
1764466015.8284738,523,751
1764466015.8582664,516,758
1764466015.888844,510,765
1764466015.9187186,504,760
1764466015.959504,503,761
1764466015.9931972,501,758
1764466016.0286548,498,755
1764466016.058795,499,755
1764466016.0830305,506,758
1764466016.1181638,511,755
1764466016.1634238,511,753
1764466016.2027764,519,745
1764466016.2331402,527,744
1764466016.2727754,526,744
1764466016.2984786,519,737
1764466016.3286574,513,741
1764466016.3587635,520,744
1764466016.388514,526,744
1764466016.4190814,536,741
1764466016.457828,534,754
1764466016.4887924,537,765
1764466016.518515,532,768
1764466016.5580611,521,751
1764466016.6036355,512,748
1764466016.6384869,513,754
1764466016.6734803,515,749
1764466016.7188451,503,748
1764466016.757661,497,758
1764466016.779472,495,750
1764466016.8279634,486,746
1764466016.8689554,485,757
1764466016.8931797,497,770
1764466016.9333103,500,764
1764466016.9631913,498,745
1764466016.9930255,495,737
1764466017.029246,495,743
1764466017.057898,496,752
1764466017.0982876,489,750
1764466017.123559,481,747
1764466017.1529984,485,757
1764466017.2028174,490,765
1764466017.2479804,491,761
1764466017.2734258,490,761
1764466017.3082893,503,760
1764466017.3483744,508,755
1764466017.3729537,502,762
1764466017.4027963,492,760
1764466017.4488623,493,760
1764466017.4886744,498,760
1764466017.5090196,501,760
1764466017.5437784,492,753
1764466017.5738337,482,744
1764466017.6032593,476,737
1764466017.6333003,480,735
1764466017.6630034,488,732
1764466017.708362,496,734
1764466017.7482276,506,745
1764466017.7833238,513,760
1764466017.8187804,499,755
1764466017.8482077,506,761
1764466017.8833613,529,775
