line_idx,timestamp,dot_x,dot_y,gaze_x,gaze_y
0,1764116551.1861563,178.0,178.0,157.0,274.0
0,1764116551.2196906,182.90901470184326,178.0,151.0,278.0
0,1764116551.2562861,190.06457614898682,178.0,144.0,279.0
0,1764116551.2884598,194.80757999420166,178.0,128.0,277.0
0,1764116551.3216257,199.72271013259888,178.0,117.0,275.0
0,1764116551.3565042,204.4539122581482,178.0,121.0,277.0
0,1764116551.391785,209.34397268295288,178.0,130.0,280.0
0,1764116551.4207127,214.10206842422485,178.0,148.0,291.0
0,1764116551.4560506,218.87740182876587,178.0,154.0,290.0
0,1764116551.4909298,223.66890001296997,178.0,158.0,300.0
0,1764116551.5215895,228.4189133644104,178.0,154.0,300.0
0,1764116551.563783,235.7248215675354,178.0,160.0,297.0
0,1764116551.6013618,240.493896484375,178.0,166.0,299.0
0,1764116551.646782,247.67434883117676,178.0,171.0,302.0
0,1764116551.6809425,252.44077730178833,178.0,167.0,302.0
0,1764116551.7116313,257.2393207550049,178.0,173.0,295.0
0,1764116551.746113,262.0693712234497,178.0,176.0,277.0
0,1764116551.781219,269.28336906433105,178.0,194.0,276.0
0,1764116551.8113632,271.7182426452637,178.0,204.0,272.0
0,1764116551.8510199,278.7960557937622,178.0,213.0,269.0
0,1764116551.8812609,283.6939125061035,178.0,211.0,269.0
0,1764116551.9129167,288.56262254714966,178.0,202.0,273.0
0,1764116551.9558823,293.22265672683716,178.0,204.0,270.0
0,1764116551.9922278,300.4607229232788,178.0,221.0,273.0
0,1764116552.022917,305.19260454177856,178.0,236.0,282.0
0,1764116552.05073,307.5762300491333,178.0,244.0,286.0
0,1764116552.0815413,312.3963384628296,178.0,255.0,287.0
0,1764116552.1158977,317.27584886550903,178.0,271.0,278.0
0,1764116552.1458483,322.08665895462036,178.0,273.0,278.0
0,1764116552.1810937,329.2645721435547,178.0,266.0,280.0
0,1764116552.2113137,331.6784529685974,178.0,261.0,289.0
0,1764116552.2567863,338.81809997558594,178.0,263.0,290.0
0,1764116552.2914593,343.70061445236206,178.0,242.0,296.0
0,1764116552.3408875,353.23365020751953,178.0,247.0,292.0
0,1764116552.3809402,358.1077961921692,178.0,240.0,286.0
0,1764116552.4082935,362.8957896232605,178.0,272.0,274.0
0,1764116552.4408567,367.6786332130432,178.0,286.0,272.0
0,1764116552.4724984,372.39796209335327,178.0,318.0,270.0
0,1764116552.5018368,377.3760347366333,178.0,333.0,264.0
0,1764116552.531601,379.6618490219116,178.0,345.0,257.0
0,1764116552.5705297,386.83604288101196,178.0,346.0,249.0
0,1764116552.611614,391.61849308013916,178.0,344.0,237.0
0,1764116552.652433,398.9177851676941,178.0,348.0,232.0
0,1764116552.6865783,403.72723627090454,178.0,344.0,231.0
0,1764116552.7316096,410.9084038734436,178.0,343.0,224.0
0,1764116552.7663767,415.71417140960693,178.0,351.0,211.0
0,1764116552.7959843,420.5140380859375,178.0,348.0,216.0
0,1764116552.8314967,425.20014333724976,178.0,350.0,213.0
0,1764116552.861176,429.99214220046997,178.0,347.0,215.0
0,1764116552.8911316,434.7925453186035,178.0,343.0,222.0
0,1764116552.9267218,439.61919832229614,178.0,351.0,234.0
0,1764116552.9607284,444.44513607025146,178.0,363.0,242.0
0,1764116552.9964237,449.63785696029663,178.0,401.0,242.0
0,1764116553.0318158,456.41029167175293,178.0,410.0,240.0
0,1764116553.0612166,461.283007144928,178.0,402.0,244.0
0,1764116553.096725,466.12750577926636,178.0,391.0,234.0
0,1764116553.1408958,473.23489475250244,178.0,393.0,243.0
0,1764116553.1875036,478.0859022140503,178.0,401.0,238.0
0,1764116553.221347,485.30258226394653,178.0,435.0,222.0
0,1764116553.2607603,490.06629276275635,178.0,458.0,215.0
0,1764116553.2966845,494.8824315071106,178.0,466.0,211.0
0,1764116553.3264878,499.57747745513916,178.0,461.0,205.0
0,1764116553.3713677,506.87980937957764,178.0,455.0,212.0
0,1764116553.4174123,513.9760761260986,178.0,436.0,211.0
0,1764116553.4613395,521.3014392852783,178.0,428.0,224.0
0,1764116553.4869733,523.5832481384277,178.0,444.0,236.0
0,1764116553.528754,530.880072593689,178.0,446.0,241.0
0,1764116553.577172,537.9847078323364,178.0,446.0,250.0
0,1764116553.6013513,540.4353170394897,178.0,483.0,246.0
0,1764116553.631458,545.2008872032166,178.0,494.0,231.0
0,1764116553.6609526,550.1380829811096,178.0,492.0,234.0
0,1764116553.6961863,555.163827419281,178.0,519.0,230.0
0,1764116553.7377393,561.9905500411987,178.0,533.0,216.0
0,1764116553.772086,566.9253854751587,178.0,541.0,213.0
0,1764116553.8220396,574.0574507713318,178.0,554.0,229.0
0,1764116553.8511777,578.9046673774719,178.0,559.0,229.0
0,1764116553.8863053,583.6611180305481,178.0,545.0,217.0
0,1764116553.9120994,588.4469299316406,178.0,544.0,219.0
0,1764116553.9515402,593.1787400245667,178.0,538.0,229.0
0,1764116553.9816601,598.0490951538086,178.0,524.0,237.0
0,1764116554.0168533,602.8855471611023,178.0,512.0,240.0
0,1764116554.0461662,607.7026515007019,178.0,514.0,234.0
0,1764116554.0767326,612.5178961753845,178.0,540.0,217.0
0,1764116554.1109262,617.33424949646,178.0,567.0,207.0
0,1764116554.1412928,622.1068649291992,178.0,569.0,197.0
0,1764116554.1713605,626.8722205162048,178.0,568.0,219.0
0,1764116554.2048779,631.6749839782715,178.0,604.0,243.0
0,1764116554.2364597,636.4016799926758,178.0,612.0,259.0
0,1764116554.2708561,641.2496476173401,178.0,615.0,260.0
0,1764116554.3069026,646.1175708770752,178.0,619.0,267.0
0,1764116554.335967,650.9138612747192,178.0,610.0,266.0
0,1764116554.370797,655.6600480079651,178.0,599.0,261.0
0,1764116554.4010909,660.4192881584167,178.0,596.0,264.0
0,1764116554.4366937,665.193763256073,178.0,601.0,264.0
0,1764116554.4710722,672.7613477706909,178.0,605.0,257.0
0,1764116554.5012348,677.2857336997986,178.0,608.0,238.0
0,1764116554.5463428,682.1112065315247,178.0,607.0,240.0
0,1764116554.5951004,689.1859798431396,178.0,625.0,248.0
0,1764116554.6163044,694.0066246986389,178.0,629.0,252.0
0,1764116554.6483033,698.8967924118042,178.0,627.0,259.0
0,1764116554.6818235,703.644588470459,178.0,621.0,289.0
0,1764116554.7158453,708.4949879646301,178.0,654.0,287.0
0,1764116554.7461815,713.3533267974854,178.0,694.0,261.0
0,1764116554.793267,720.4911141395569,178.0,700.0,247.0
0,1764116554.8365788,725.2769975662231,178.0,696.0,244.0
0,1764116554.8734796,732.469358921051,178.0,705.0,240.0
0,1764116554.922937,739.6901159286499,178.0,709.0,227.0
0,1764116554.9761724,746.7760829925537,178.0,727.0,216.0
0,1764116555.0113897,751.7586975097656,178.0,742.0,195.0
0,1764116555.0484169,758.8407664299011,178.0,740.0,196.0
0,1764116555.075763,761.2296133041382,178.0,739.0,233.0
0,1764116555.115715,768.5393123626709,178.0,730.0,243.0
0,1764116555.1466181,773.2370047569275,178.0,741.0,231.0
0,1764116555.1807969,778.0752449035645,178.0,756.0,230.0
0,1764116555.215848,782.9623012542725,178.0,760.0,227.0
0,1764116555.2512138,787.7235441207886,178.0,770.0,230.0
0,1764116555.2810187,792.3864750862122,178.0,778.0,240.0
0,1764116555.3159556,797.2197799682617,178.0,770.0,242.0
0,1764116555.3567762,804.4053106307983,178.0,762.0,220.0
0,1764116555.3813708,809.3061356544495,178.0,779.0,195.0
0,1764116555.4179444,814.1726641654968,178.0,797.0,169.0
0,1764116555.448971,818.8468246459961,178.0,795.0,159.0
0,1764116555.4815269,823.6706523895264,178.0,792.0,175.0
0,1764116555.51679,828.4309296607971,178.0,786.0,216.0
0,1764116555.5511966,833.213737487793,178.0,815.0,235.0
0,1764116555.5818245,838.0696086883545,178.0,825.0,234.0
0,1764116555.6166546,842.9757623672485,178.0,839.0,222.0
0,1764116555.656654,850.1311450004578,178.0,845.0,235.0
0,1764116555.681494,852.4037985801697,178.0,825.0,262.0
0,1764116555.7160006,857.2026281356812,178.0,815.0,271.0
0,1764116555.7525454,864.5045666694641,178.0,813.0,244.0
0,1764116555.7959611,869.2397027015686,178.0,812.0,220.0
0,1764116555.8266425,874.1187839508057,178.0,831.0,229.0
0,1764116555.856144,878.8705139160156,178.0,849.0,218.0
0,1764116555.8863387,883.596137046814,178.0,851.0,210.0
0,1764116555.920988,888.3919982910156,178.0,847.0,215.0
0,1764116555.9565346,893.1899695396423,178.0,857.0,240.0
0,1764116555.9960728,900.4991321563721,178.0,870.0,253.0
0,1764116556.0409307,907.7172784805298,178.0,873.0,263.0
0,1764116556.0746014,912.4438314437866,178.0,883.0,259.0
0,1764116556.1108136,917.1817212104797,178.0,901.0,256.0
0,1764116556.1418245,921.9880967140198,178.0,907.0,246.0
0,1764116556.1712039,926.8654255867004,178.0,898.0,236.0
0,1764116556.2016206,931.7154674530029,178.0,919.0,237.0
0,1764116556.2387455,936.4161639213562,178.0,927.0,249.0
0,1764116556.2713406,941.3110880851746,178.0,934.0,250.0
0,1764116556.301859,946.1146025657654,178.0,933.0,253.0
0,1764116556.341796,953.3699064254761,178.0,926.0,257.0
0,1764116556.376781,958.0521850585938,178.0,926.0,256.0
0,1764116556.4061775,963.0271463394165,178.0,935.0,232.0
0,1764116556.451086,967.6309971809387,178.0,943.0,225.0
0,1764116556.473444,972.4185972213745,178.0,955.0,233.0
0,1764116556.5073826,977.3298292160034,178.0,952.0,234.0
0,1764116556.5410159,982.1218996047974,178.0,962.0,234.0
0,1764116556.5713353,986.8362216949463,178.0,977.0,225.0
