model,mean_error,variance
similarity,57.74268429033411,1920.4535278062338
poly,54.69714957377754,2123.35402069324
"rbf[thin_plate,s=1.0]",54.449702976726826,2106.2279941433508
"rbf[multiquadric,s=0.0]",55.10694456899859,2261.497258135163
"rbf[multiquadric,s=1.0]",74.75701363923041,2521.6410871272174
"rbf[multiquadric,s=2.0]",108.66369901076995,5993.800212581756
tps,54.09413883610781,1952.3924831931686
pwa,65.66148856884749,5887.069360811925
gpr,51.325646032503045,1327.0956778821883
"sim+rbf[thin_plate,s=1.0]",54.29840090780153,2058.368465045117
"sim+rbf[multiquadric,s=0.0]",55.642126297962896,2509.6341909603484
"sim+rbf[multiquadric,s=1.0]",49.708612952288924,1428.5721007947059
"sim+rbf[multiquadric,s=2.0]",49.964656384419264,1433.9129272008643
sim+tps,54.09413885958439,1952.3924972938357
sim+pwa,65.66148856884749,5887.0693608119245
sim+gpr,51.95230527322723,1558.0373144619564
