x,y
690,540
695,551
664,549
668,531
677,510
679,526
698,534
714,534
726,537
725,553
706,584
706,594
692,578
684,575
663,567
664,571
671,580
675,587
650,586
651,600
645,601
657,595
660,593
620,596
628,583
645,578
672,578
709,593
718,612
722,613
715,606
710,592
700,598
712,594
740,590
720,595
690,598
683,589
677,579
670,561
657,558
674,578
698,571
695,580
693,589
703,580
683,569
688,584
696,602
706,585
703,563
697,560
692,550
694,565
698,568
709,564
712,567
710,561
715,556
704,544
715,533
698,542
697,517
698,506
715,511
712,509
720,497
703,511
704,523
688,537
709,539
702,537
713,542
728,536
740,529
762,497
762,473
753,466
764,471
773,478
772,471
773,476
778,462
764,463
765,448
764,427
759,430
750,445
749,444
759,432
756,443
754,461
762,473
759,473
725,536
722,585
724,589
705,575
695,581
691,591
693,600
688,601
690,611
693,631
697,628
706,619
709,611
706,610
710,608
706,615
723,586
718,555
715,519
706,511
710,533
703,551
707,553
725,532
738,501
