timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,spread,n_sample
2025-10-17T12:03:41.697,13,952,417,940.6333333333333,455.1666666666667,45.56648378407582,30
2025-10-17T12:03:48.109,1,729,238,721.5,264.9,24.81545217534161,30
2025-10-17T12:03:54.523,9,729,953,728.448275862069,830.1034482758621,37.940907805912374,29
2025-10-17T12:04:00.933,12,506,417,506.7931034482759,433.3103448275862,43.24228674183982,29
2025-10-17T12:04:07.341,2,1175,238,1177.9666666666667,317.1666666666667,42.311989369969886,30
2025-10-17T12:04:13.754,11,1621,953,1544.7241379310344,917.0,46.41707218011578,29
2025-10-17T12:04:20.167,10,1175,953,1143.607142857143,891.6428571428571,29.167684627522497,28
2025-10-17T12:04:26.575,7,1621,596,1508.344827586207,605.2758620689655,50.943628354454354,29
2025-10-17T12:04:32.979,17,1398,774,1367.5333333333333,742.7,26.08688474225229,30
2025-10-17T12:04:39.374,4,283,596,282.41379310344826,579.6551724137931,50.80238461919315,29
2025-10-17T12:04:45.770,0,283,238,289.2758620689655,218.31034482758622,38.82231850100021,29
2025-10-17T12:04:52.194,16,952,774,920.2068965517242,657.8965517241379,50.72354016385159,29
2025-10-17T12:04:58.613,14,1398,417,1359.655172413793,374.0689655172414,51.1294549675569,29
2025-10-17T12:05:05.033,5,729,596,677.6551724137931,569.5172413793103,38.35037791633614,29
2025-10-17T12:05:11.456,3,1621,238,1585.3793103448277,262.86206896551727,31.643638496745645,29
2025-10-17T12:05:17.882,6,1175,596,1124.0689655172414,549.3448275862069,39.775409919257235,29
2025-10-17T12:05:24.301,15,506,774,536.3448275862069,630.1379310344828,64.32299958694455,29
2025-10-17T12:05:30.712,8,283,953,334.9310344827586,873.9310344827586,57.66362749420752,29
