x,y
1345,446
1347,434
1372,431
1379,454
1372,468
1377,449
1385,444
1381,431
1358,424
1341,383
1330,348
1324,363
1340,352
1356,346
1347,347
1334,350
1341,358
1349,360
1360,349
1355,344
1367,340
1370,326
1381,319
1382,328
1382,331
1363,335
1356,341
1359,330
1377,317
1369,318
1362,315
1389,342
1408,362
1386,345
1359,324
1351,340
1360,363
1365,384
1365,377
1361,358
1357,356
1363,350
1367,361
1347,353
1346,339
1360,338
1365,337
1360,356
1345,381
1319,407
1316,395
1318,385
1303,382
1324,376
1330,389
1313,379
1324,380
1328,381
1327,382
1328,379
1332,374
1334,369
1335,382
1333,386
1334,386
1317,383
1332,402
1330,419
1349,421
1366,410
1361,403
1347,402
1327,402
1330,389
1313,393
1316,392
1322,397
1325,411
1333,406
1349,406
1326,405
1310,395
1292,389
1281,380
1288,409
1294,414
1292,407
1290,414
1291,440
1289,438
1291,415
1284,436
1263,426
1281,409
1295,407
1291,417
1288,414
1282,424
1287,429
1286,446
1282,456
1313,446
1351,435
1348,424
1360,424
1362,422
1372,430
1356,436
1332,429
1335,415
1338,413
1337,417
1330,422
1329,408
1327,394
1332,403
1334,403
1334,400
1332,411
