x,y
252,226
292,233
282,220
277,213
243,205
227,186
238,180
293,216
327,226
342,216
350,199
332,187
306,186
306,193
295,196
305,199
292,181
271,194
259,253
259,272
292,255
304,246
283,233
290,239
289,224
299,219
309,221
308,243
267,270
237,278
219,274
221,279
220,292
222,306
223,317
246,328
277,328
300,339
317,343
301,344
274,328
289,321
305,317
337,330
349,322
348,309
332,302
316,288
278,267
274,256
298,270
274,271
269,258
271,260
263,245
270,225
279,226
298,231
306,235
310,235
293,236
303,229
304,234
318,224
334,226
324,205
346,211
321,199
308,202
312,213
297,214
297,210
291,209
290,206
305,207
300,207
295,208
283,219
295,222
282,218
278,221
269,225
297,245
318,256
296,253
278,250
268,244
297,255
309,254
302,241
313,240
324,221
322,252
333,291
314,305
270,273
251,266
255,281
264,288
262,283
262,279
255,270
254,274
263,272
293,279
305,270
295,286
306,289
302,288
287,276
298,269
312,251
323,228
325,221
350,232
323,223
332,232
362,242
355,222
