line_idx,timestamp,dot_x,dot_y,gaze_x,gaze_y
0,1764110010.9072833,180.30408906936646,178.0,182.0,183.0
0,1764110010.951764,185.09526538848877,178.0,187.0,188.0
0,1764110010.9969535,192.40435647964478,178.0,194.0,195.0
0,1764110011.0401409,199.5487241744995,178.0,199.0,197.0
0,1764110011.077013,204.38946771621704,178.0,189.0,199.0
0,1764110011.1175973,211.5734248161316,178.0,175.0,197.0
0,1764110011.15739,216.4064793586731,178.0,181.0,196.0
0,1764110011.197067,223.50142288208008,178.0,196.0,200.0
0,1764110011.2371817,228.360369682312,178.0,203.0,184.0
0,1764110011.2822733,235.54529237747192,178.0,201.0,177.0
0,1764110011.32728,242.6681308746338,178.0,201.0,170.0
0,1764110011.3743405,250.01155424118042,178.0,197.0,176.0
0,1764110011.4071403,254.71375274658203,178.0,185.0,175.0
0,1764110011.441633,259.60016536712646,178.0,230.0,185.0
0,1764110011.4767847,264.3888382911682,178.0,235.0,192.0
0,1764110011.5124576,269.17947816848755,178.0,230.0,188.0
0,1764110011.5493114,276.39783906936646,178.0,235.0,185.0
0,1764110011.5926168,281.20847034454346,178.0,234.0,186.0
0,1764110011.6322243,288.3856682777405,178.0,249.0,190.0
0,1764110011.6719108,293.0948405265808,178.0,253.0,195.0
0,1764110011.7082977,300.28795289993286,178.0,282.0,208.0
0,1764110011.7515368,305.2122383117676,178.0,270.0,205.0
0,1764110011.7975802,312.3788146972656,178.0,268.0,211.0
0,1764110011.842187,319.4750099182129,178.0,279.0,203.0
0,1764110011.8846135,326.69576692581177,178.0,288.0,217.0
0,1764110011.9219475,331.52810621261597,178.0,281.0,229.0
0,1764110011.9649746,338.747754573822,178.0,271.0,210.0
0,1764110011.9983275,343.4861807823181,178.0,259.0,213.0
0,1764110012.0366158,348.2801823616028,178.0,273.0,240.0
0,1764110012.0768483,355.5771498680115,178.0,298.0,260.0
0,1764110012.124613,362.78403091430664,178.0,303.0,266.0
0,1764110012.1621084,367.5707368850708,178.0,276.0,272.0
0,1764110012.2065058,374.7604875564575,178.0,278.0,249.0
0,1764110012.2474961,379.6196131706238,178.0,295.0,245.0
0,1764110012.2893662,386.80457162857056,178.0,305.0,270.0
0,1764110012.316576,391.5292649269104,178.0,383.0,272.0
0,1764110012.357475,396.4110999107361,178.0,383.0,266.0
0,1764110012.4129965,406.0051827430725,178.0,378.0,245.0
0,1764110012.4473746,410.7324151992798,178.0,375.0,249.0
0,1764110012.481991,415.587571144104,178.0,372.0,267.0
0,1764110012.5167396,420.3864722251892,178.0,378.0,282.0
0,1764110012.5576098,427.49861764907837,178.0,387.0,294.0
0,1764110012.592756,432.29190397262573,178.0,366.0,294.0
0,1764110012.637242,439.5708112716675,178.0,372.0,278.0
0,1764110012.676673,444.2868142127991,178.0,385.0,266.0
0,1764110012.7165399,451.4808564186096,178.0,381.0,262.0
0,1764110012.749173,456.4164786338806,178.0,391.0,254.0
0,1764110012.7925298,461.1790089607239,178.0,411.0,249.0
0,1764110012.8394701,468.27373790740967,178.0,427.0,254.0
0,1764110012.8772142,475.60643243789673,178.0,427.0,247.0
0,1764110012.9117284,480.3565888404846,178.0,446.0,248.0
0,1764110012.9412105,485.1100354194641,178.0,465.0,239.0
0,1764110012.9737422,489.9816064834595,178.0,462.0,233.0
0,1764110013.0116103,494.8297529220581,178.0,457.0,243.0
0,1764110013.0474467,499.5321660041809,178.0,453.0,261.0
0,1764110013.0869935,506.7692666053772,178.0,452.0,280.0
0,1764110013.1122007,509.2024235725403,178.0,448.0,281.0
0,1764110013.1515741,516.3961796760559,178.0,450.0,283.0
0,1764110013.196856,523.4847931861877,178.0,454.0,275.0
0,1764110013.2322853,528.3358721733093,178.0,460.0,249.0
0,1764110013.272604,533.0689697265625,178.0,477.0,243.0
0,1764110013.3120034,540.6063704490662,178.0,498.0,242.0
0,1764110013.347632,545.1469569206238,178.0,507.0,239.0
0,1764110013.392351,552.3320226669312,178.0,512.0,244.0
0,1764110013.426739,557.0672302246094,178.0,516.0,262.0
0,1764110013.4624226,562.004282951355,178.0,508.0,257.0
0,1764110013.5068016,569.1758661270142,178.0,491.0,255.0
0,1764110013.551955,576.357892036438,178.0,487.0,256.0
0,1764110013.5922165,581.207004070282,178.0,491.0,255.0
0,1764110013.6328132,588.3830933570862,178.0,520.0,258.0
0,1764110013.6602218,593.0764226913452,178.0,536.0,275.0
0,1764110013.6927192,597.9608325958252,178.0,547.0,290.0
0,1764110013.7253914,602.7102379798889,178.0,543.0,294.0
0,1764110013.7669544,607.5801281929016,178.0,549.0,295.0
0,1764110013.803845,614.7587208747864,178.0,549.0,287.0
0,1764110013.8420928,619.4734721183777,178.0,555.0,287.0
0,1764110013.8918655,626.6982345581055,178.0,564.0,283.0
0,1764110013.927693,631.4828662872314,178.0,560.0,278.0
0,1764110013.9656343,638.7740044593811,178.0,554.0,281.0
0,1764110014.001791,643.4744148254395,178.0,551.0,287.0
0,1764110014.0375464,648.275068283081,178.0,554.0,292.0
0,1764110014.0724528,653.101900100708,178.0,560.0,297.0
0,1764110014.1071315,660.7604651451111,178.0,567.0,298.0
0,1764110014.1420302,665.136971950531,178.0,572.0,318.0
0,1764110014.1758816,669.8699622154236,178.0,588.0,328.0
0,1764110014.2071872,674.722400188446,178.0,621.0,307.0
0,1764110014.2427254,679.5828132629395,178.0,636.0,287.0
0,1764110014.2841005,686.7876200675964,178.0,650.0,275.0
0,1764110014.3121183,689.1037611961365,178.0,666.0,261.0
0,1764110014.3521469,696.3573126792908,178.0,673.0,257.0
0,1764110014.3815534,701.1083631515503,178.0,692.0,263.0
0,1764110014.4223046,705.8948545455933,178.0,706.0,268.0
0,1764110014.4625907,713.1676821708679,178.0,706.0,281.0
0,1764110014.4977002,718.0091052055359,178.0,694.0,285.0
0,1764110014.5429852,725.0706462860107,178.0,696.0,278.0
0,1764110014.5942602,732.3335676193237,178.0,700.0,285.0
0,1764110014.6466978,739.5554332733154,178.0,728.0,278.0
0,1764110014.6873288,746.7676072120667,178.0,758.0,259.0
0,1764110014.7332861,754.0008811950684,178.0,739.0,265.0
0,1764110014.7719147,758.6833386421204,178.0,740.0,267.0
0,1764110014.8124115,765.9098534584045,178.0,756.0,259.0
0,1764110014.851495,770.7563905715942,178.0,758.0,261.0
0,1764110014.8971338,778.002110004425,178.0,759.0,267.0
0,1764110014.9465373,785.1343541145325,178.0,755.0,272.0
0,1764110014.972303,789.8912696838379,178.0,755.0,279.0
0,1764110015.006655,794.6772246360779,178.0,764.0,282.0
0,1764110015.0378704,799.4961886405945,178.0,801.0,273.0
0,1764110015.0767906,804.3504505157471,178.0,805.0,258.0
0,1764110015.1068306,809.0819387435913,178.0,796.0,265.0
0,1764110015.1419725,814.0081553459167,178.0,795.0,263.0
0,1764110015.1767478,821.2029128074646,178.0,811.0,251.0
0,1764110015.2125995,825.8954911231995,178.0,823.0,249.0
0,1764110015.247838,831.0096054077148,178.0,828.0,257.0
0,1764110015.282876,835.5412154197693,178.0,828.0,260.0
0,1764110015.326541,842.734148979187,178.0,817.0,266.0
0,1764110015.366644,847.5373058319092,178.0,820.0,273.0
0,1764110015.403096,854.6903281211853,178.0,799.0,264.0
