model,mean_error,variance
similarity,57.074736417169916,1826.2768729498
poly,53.247178849101445,1928.5699482409238
"rbf[thin_plate,s=1.0]",53.77579006692738,1870.783439816114
"rbf[multiquadric,s=0.0]",54.99878750931751,2281.452354281802
"rbf[multiquadric,s=1.0]",68.99114242091011,1988.3970184569514
"rbf[multiquadric,s=2.0]",95.47010128388865,4194.6370404596255
tps,53.53670357027691,1787.2355340269253
pwa,53.08867628210191,2473.913463064681
gpr,50.55422061921768,1265.9195959126596
"sim+rbf[thin_plate,s=1.0]",53.627311665858514,1843.99677266203
"sim+rbf[multiquadric,s=0.0]",55.3288074986292,2429.3851505728326
"sim+rbf[multiquadric,s=1.0]",48.77842395241383,1331.6600007372297
"sim+rbf[multiquadric,s=2.0]",49.03428063266927,1345.6975987665835
sim+tps,53.53670359387346,1787.2355440057052
sim+pwa,53.088676282101915,2473.9134630646813
sim+gpr,50.71524371167813,1450.7090676920145
