x,y
347,838
349,835
343,836
341,844
347,847
361,847
369,848
367,841
371,832
372,827
359,824
352,819
333,818
324,804
326,815
339,829
372,829
397,818
425,820
428,839
405,864
396,867
399,865
395,856
381,854
364,859
361,872
361,863
383,836
402,824
411,821
393,821
398,829
387,822
363,804
340,812
330,823
322,837
326,838
335,831
325,830
307,836
299,848
328,849
354,848
365,856
378,860
392,859
404,859
408,858
413,861
407,867
386,869
372,865
370,866
371,871
378,885
382,881
386,871
376,873
362,872
358,879
351,880
361,882
381,877
394,878
382,872
385,863
394,851
395,848
391,856
381,865
360,865
349,850
343,842
322,848
301,852
299,852
304,845
321,839
334,825
345,825
361,826
361,827
349,831
339,840
333,856
332,854
327,847
321,842
320,834
323,833
327,832
325,826
297,818
288,820
277,823
271,816
255,817
262,818
272,818
312,822
299,838
315,861
314,872
319,896
300,907
287,907
279,903
269,902
266,901
262,895
276,879
300,858
317,858
342,861
325,857
310,839
307,844
326,844
