x,y
180,719
202,743
188,754
177,743
183,702
174,685
186,695
203,717
219,735
231,749
246,749
221,713
199,674
171,642
174,658
155,681
146,695
147,703
156,707
171,720
185,729
205,716
219,708
218,708
218,708
213,718
188,737
175,762
176,789
196,795
210,796
197,792
186,785
181,767
175,759
188,757
207,757
209,748
213,743
227,742
213,743
207,748
213,741
211,739
222,738
231,749
225,747
230,738
230,749
202,774
186,781
186,776
191,748
177,720
184,703
207,708
205,717
187,719
179,695
176,682
176,670
189,663
203,654
204,672
176,706
147,737
142,734
148,725
159,714
149,718
157,725
169,726
184,722
185,719
186,723
186,715
182,701
181,698
188,701
197,713
200,724
170,720
167,729
178,742
188,741
187,742
180,748
182,749
183,755
197,759
191,760
174,757
157,755
148,745
150,742
141,734
147,767
157,775
153,786
132,796
118,804
114,794
97,796
89,804
96,806
106,795
132,787
141,780
125,771
127,769
130,762
153,767
163,773
167,773
160,771
140,765
126,757
122,743
140,756
