x,y
874,368
879,378
845,388
827,376
830,384
833,386
889,423
905,370
862,337
833,279
844,328
870,389
890,409
883,391
883,394
888,412
896,422
891,405
886,392
885,386
877,372
875,381
876,410
887,455
894,452
881,445
865,447
875,446
878,432
887,429
894,428
887,418
874,421
880,442
885,457
881,464
886,461
889,455
900,477
916,474
930,463
928,450
916,436
903,442
882,444
880,439
897,425
902,401
905,386
921,399
935,409
917,435
872,446
851,417
839,390
825,402
830,432
853,448
858,463
860,472
861,479
861,492
836,477
844,466
839,482
839,492
853,489
870,474
895,473
902,478
896,464
900,453
906,444
877,442
861,451
874,451
882,452
871,450
866,455
873,457
873,454
860,453
855,450
857,451
853,460
877,463
876,460
860,470
873,478
890,473
897,460
886,457
876,462
856,463
859,461
874,468
892,477
896,460
895,440
893,404
870,393
855,421
849,454
849,481
842,491
846,499
845,497
833,518
848,533
869,516
859,476
850,455
863,457
868,458
878,464
