x,y
439,780
443,785
443,777
437,749
444,741
445,762
446,776
442,782
450,784
450,769
446,762
447,769
445,771
431,755
427,752
430,756
416,767
423,782
438,786
448,780
465,802
471,820
457,834
456,842
437,831
405,822
381,798
373,792
375,792
401,815
424,814
440,796
452,779
446,783
427,805
405,826
412,829
423,808
411,784
426,789
433,784
458,792
482,802
472,788
459,757
428,754
401,756
393,753
438,758
489,748
507,758
498,734
483,720
489,729
467,739
439,745
407,752
404,755
415,763
415,787
428,774
436,748
431,746
433,768
454,797
473,802
483,800
499,773
503,772
505,769
515,792
532,785
531,779
524,760
517,744
493,746
459,736
470,713
498,728
496,744
472,765
477,781
512,792
529,786
535,784
511,784
477,775
464,760
457,758
454,744
465,739
472,752
478,755
480,770
475,770
473,771
445,773
419,783
409,794
421,785
426,776
436,793
444,830
443,825
457,789
458,765
460,761
461,759
461,753
482,746
490,746
491,746
498,753
486,792
