timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,spread,n_sample
2025-10-17T14:18:12.275,15,506,774,452.45882352941175,775.3411764705883,46.46620679270497,85
2025-10-17T14:18:18.683,14,1398,417,1368.3720930232557,433.4767441860465,45.9321474431564,86
2025-10-17T14:18:25.093,5,729,596,677.3953488372093,588.8604651162791,49.00556253677434,86
2025-10-17T14:18:31.497,3,1621,238,1542.0459770114942,282.632183908046,64.46918946706529,87
2025-10-17T14:18:37.912,4,283,596,232.55172413793105,639.2413793103449,55.641240832064014,87
2025-10-17T14:18:44.325,10,1175,953,1118.219512195122,877.1463414634146,53.08073609996136,82
2025-10-17T14:18:50.738,1,729,238,625.9431818181819,252.4431818181818,42.16477846957612,88
2025-10-17T14:18:57.156,12,506,417,429.5833333333333,418.9642857142857,48.94254521810552,84
2025-10-17T14:19:03.559,7,1621,596,1572.987951807229,653.0361445783133,39.24956902811084,83
2025-10-17T14:19:09.997,6,1175,596,1085.9529411764706,599.1529411764706,48.87641359826203,85
2025-10-17T14:19:16.406,2,1175,238,1094.6829268292684,264.5,38.731448131466756,82
2025-10-17T14:19:22.829,0,283,238,223.3452380952381,295.4047619047619,48.573609603226124,84
2025-10-17T14:19:29.235,16,952,774,857.9880952380952,738.7857142857143,54.51137178786653,84
2025-10-17T14:19:35.655,17,1398,774,1348.4642857142858,758.7142857142857,42.65253240322506,84
2025-10-17T14:19:42.058,9,729,953,633.5411764705882,924.1882352941177,67.82590986078188,85
2025-10-17T14:19:48.465,11,1621,953,1572.047619047619,943.2142857142857,30.70674510610556,84
2025-10-17T14:19:54.871,13,952,417,876.3372093023256,430.6279069767442,46.49647572959827,86
2025-10-17T14:20:01.268,8,283,953,280.14942528735634,962.4597701149426,72.00915224929979,87
