x,y
1606,331
1602,318
1578,318
1579,324
1566,311
1578,298
1581,305
1590,332
1597,369
1576,400
1555,416
1559,421
1551,420
1545,406
1536,395
1543,381
1554,327
1559,304
1551,299
1546,270
1559,271
1564,281
1587,285
1612,302
1628,318
1629,327
1637,342
1645,326
1614,316
1618,297
1616,290
1631,316
1617,339
1589,362
1577,368
1581,370
1560,383
1570,403
1591,389
1585,388
1580,373
1610,364
1612,363
1614,368
1621,365
1626,359
1617,362
1612,381
1608,384
1609,378
1610,369
1612,352
1606,338
1611,332
1621,338
1612,353
1594,344
1598,334
1599,324
1593,340
1589,334
1583,309
1582,301
1571,298
1579,356
1562,374
1587,378
1604,366
1606,337
1584,319
1577,337
1565,346
1577,337
1582,329
1582,357
1575,385
1567,411
1581,393
1608,395
1623,378
1618,359
1605,358
1602,350
1601,349
1615,342
1619,335
1623,326
1616,315
1611,316
1614,323
1607,321
1592,329
1593,312
1604,314
1602,314
1593,310
1580,308
1581,292
1599,301
1605,318
1595,315
1593,321
1587,320
1590,334
1577,350
1564,375
1564,382
1561,378
1565,371
1570,368
1585,369
1609,358
1621,340
1613,324
1622,315
1635,307
1638,304
1633,308
1635,312
1623,324
