x,y
1596,937
1603,936
1596,932
1588,933
1565,923
1559,914
1570,924
1582,932
1590,907
1601,886
1591,882
1570,896
1562,904
1560,905
1561,907
1558,905
1564,902
1571,901
1576,898
1580,893
1570,885
1579,891
1585,910
1589,919
1578,920
1576,917
1581,915
1578,922
1579,921
1581,921
1589,921
1589,910
1598,904
1594,916
1586,907
1582,871
1588,862
1602,865
1611,875
1611,882
1593,907
1591,909
1599,901
1591,900
1591,907
1594,915
1597,908
1596,903
1571,897
1576,898
1573,899
1564,900
1561,905
1570,917
1589,928
1597,936
1598,939
1601,942
1607,944
1616,947
1620,950
1616,944
1618,940
1614,937
1612,942
1619,948
1631,956
1654,967
1671,964
1675,963
1669,955
1672,956
1678,946
1674,929
1664,940
1655,955
1656,952
1645,955
1652,960
1659,959
1673,947
1670,940
1668,941
1660,940
1662,953
1663,950
1656,949
1648,949
1639,951
1633,949
1634,947
1632,943
1637,939
1636,938
1635,942
1633,943
1633,941
1629,935
1635,943
1631,950
1637,957
1644,961
1641,955
1647,959
1654,964
1661,967
1662,967
1661,965
1652,958
1647,956
1636,956
1628,954
1626,949
1627,944
1616,930
1607,915
1593,906
1579,900
1578,893
1589,876
