x,y
777,451
792,460
798,468
786,467
787,457
788,449
782,440
784,430
786,423
792,440
788,455
770,461
768,473
761,488
755,490
763,471
786,440
813,426
794,433
780,433
792,434
800,450
795,476
796,507
812,527
802,512
785,489
785,484
822,483
855,459
853,438
833,420
805,421
798,420
813,417
821,414
822,415
814,431
807,457
817,472
835,461
848,443
842,434
832,437
822,436
819,450
795,454
789,458
796,466
808,478
791,487
776,506
790,503
800,477
795,481
790,485
790,481
778,455
764,430
774,432
785,449
783,451
783,441
762,438
757,451
748,453
753,452
759,453
761,454
774,456
772,454
771,452
772,448
769,447
775,442
772,443
770,444
776,439
772,432
775,441
788,449
788,450
790,456
774,452
770,459
763,470
759,482
763,486
770,484
774,480
775,476
780,474
794,455
804,415
813,399
815,432
804,461
802,479
786,457
783,446
781,445
778,454
763,449
762,436
770,429
778,428
798,437
815,481
808,503
784,506
769,488
754,485
