x,y
1764649988.883354,396,377
1764649988.9186485,402,374
1764649988.949005,413,370
1764649988.9834435,420,373
1764649989.0133796,424,379
1764649989.0530505,422,383
1764649989.084181,422,382
1764649989.1136024,417,384
1764649989.1545234,417,386
1764649989.18369,421,388
1764649989.2182753,427,386
1764649989.2479613,438,394
1764649989.283084,486,419
1764649989.3229797,630,729
1764649989.3631823,692,451
1764649989.4036207,806,584
1764649989.4378383,835,582
1764649989.4731052,770,664
1764649989.503142,742,690
1764649989.53854,745,702
1764649989.5682957,759,709
1764649989.603015,818,742
1764649989.634101,899,835
1764649989.6689513,930,808
1764649989.6985357,931,807
1764649989.7287183,907,805
1764649989.7587295,915,803
1764649989.7878902,940,798
1764649989.8185024,964,799
1764649989.8534415,981,784
1764649989.883465,994,807
1764649989.9186063,1011,808
1764649989.9592788,1022,793
1764649989.9937756,1025,785
1764649990.0327828,1033,801
1764649990.0531578,1022,831
1764649990.088327,1033,832
1764649990.1235,1040,830
1764649990.153099,1042,814
1764649990.1981165,1051,801
1764649990.2386284,1052,785
1764649990.2627692,1041,792
1764649990.288637,1021,802
1764649990.333495,1017,809
1764649990.374114,998,801
1764649990.3985384,974,801
1764649990.4386084,976,810
1764649990.4749029,974,826
1764649990.522759,974,803
1764649990.552904,997,766
1764649990.5828354,1007,778
1764649990.6138387,987,773
1764649990.642883,984,788
1764649990.673913,983,816
1764649990.7027578,975,825
1764649990.7333107,970,806
1764649990.7782576,984,797
1764649990.81775,997,797
1764649990.8386064,1007,794
1764649990.8679569,993,806
