model,mean_error,variance
similarity,57.843535218963865,1835.5471594987807
poly,55.8861783916282,2342.5341166791795
"rbf[thin_plate,s=1.0]",58.855232475780895,4132.944869752543
"rbf[multiquadric,s=0.0]",58.147600188392005,2649.6632495661397
"rbf[multiquadric,s=1.0]",89.50346162573501,2893.803208148082
"rbf[multiquadric,s=2.0]",130.07619794948036,6445.2705391559775
tps,55.1124811447815,1969.7150347560203
pwa,65.69686192755528,5412.555165597357
gpr,54.49423989214022,1472.7023131886313
"sim+rbf[thin_plate,s=1.0]",55.60267583638867,2066.8149038477336
"sim+rbf[multiquadric,s=0.0]",57.50218171083638,2887.652950818996
"sim+rbf[multiquadric,s=1.0]",50.613417219949156,1415.0915698799222
"sim+rbf[multiquadric,s=2.0]",51.3889983694101,1449.9928476139983
sim+tps,55.11248116469408,1969.7150440878268
sim+pwa,65.69686192755529,5412.555165597358
sim+gpr,53.48929692509836,1554.218707575232
