model,mean_error,variance
similarity,56.92811893930277,1833.1809393982749
poly,52.83555870718014,1889.3642339303842
"rbf[thin_plate,s=1.0]",53.582147148546454,1919.1373437339146
"rbf[multiquadric,s=0.0]",55.54450073040094,2497.3701171025764
"rbf[multiquadric,s=1.0]",68.10893163437007,2041.9164293909246
"rbf[multiquadric,s=2.0]",96.19950043627559,4294.070530737463
tps,53.346433587404796,1835.315934476155
pwa,52.57380176473546,2519.539700252271
gpr,50.38536626911161,1267.9407539809872
"sim+rbf[thin_plate,s=1.0]",53.46221003849214,1891.815056490753
"sim+rbf[multiquadric,s=0.0]",55.60378628500772,2654.930860251261
"sim+rbf[multiquadric,s=1.0]",48.619117297769094,1349.0783242162577
"sim+rbf[multiquadric,s=2.0]",48.925905923323235,1362.7385114107979
sim+tps,53.34643361350827,1835.3159443640302
sim+pwa,52.573801764735464,2519.5397002522714
sim+gpr,50.768288257654646,1467.4999069447342
