num_points,dataset_name,original_count,non_fixed_count,fixed_count,removed_pct,original_mean_distance,non_fixed_mean_distance
4,4points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
6,6points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
6,6points_2,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
6,6points_3,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
6,6points_4,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
8,8points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
8,8points_2,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
8,8points_3,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
8,8points_4,1987,1032,955,48.06240563663815,75.53568760742698,70.99268520444474
10,10points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
10,10points_2,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
10,10points_3,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
10,10points_4,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
10,10points_5,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
12,12points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
12,12points_2,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
12,12points_3,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
12,12points_4,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
12,12points_5,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
12,12points_6,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
14,14points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
14,14points_2,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
14,14points_3,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
14,14points_4,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
14,14points_5,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
16,16points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
16,16points_2,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
16,16points_3,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
18,18points_1,1996,1034,962,48.19639278557114,75.48621214006376,70.96263906072124
