num_points,dataset_name,original_count,cleaned_count,removed_count,removed_pct,original_mean_distance,original_median_distance,cleaned_mean_distance,cleaned_median_distance
4,4points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
6,6points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
6,6points_2,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
6,6points_3,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
6,6points_4,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
8,8points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
8,8points_2,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
8,8points_3,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
8,8points_4,2053,1987,66,3.214807598636142,81.39120030516207,66.91992568954052,75.53568760742698,64.90726932409883
10,10points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
10,10points_2,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
10,10points_3,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
10,10points_4,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
10,10points_5,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
12,12points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
12,12points_2,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
12,12points_3,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
12,12points_4,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
12,12points_5,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
12,12points_6,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
14,14points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
14,14points_2,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
14,14points_3,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
14,14points_4,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
14,14points_5,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
16,16points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
16,16points_2,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
16,16points_3,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
18,18points_1,2064,1996,68,3.2945736434108532,81.45117582997338,66.9502927751515,75.48621214006376,64.95814015407183
