num_points,num_datasets,neural_mean_l2,neural_std_l2,neural_median_l2,neural_median_std,original_mean_l2,original_median_l2,sim_rbf_mean_l2,sim_rbf_median_l2,improvement_vs_original,improvement_vs_simrbf,similarity_mean_l2,similarity_median_l2,tps_mean_l2,tps_median_l2,pwa_mean_l2,pwa_median_l2
4,1,50.422165,0.0,43.945847,0.0,75.48621214006376,64.95814015407183,62.36628760943934,54.36211524587918,33.203477181456044,19.1515691414016,65.60169829308649,57.702107683071446,62.68324131534346,52.218612658580994,103.13599798767368,57.72890760465835
6,4,50.038948,2.3326148986816406,42.863167,1.8865615129470825,75.48621214006376,64.95814015407183,55.20408498933131,46.706371562623744,33.71114567887918,9.274611275471484,60.01882453597462,51.17524477763581,57.51363057131923,47.03261850528888,122.51869754714426,76.40277493325408
8,4,49.680733,2.7781777381896973,42.626072,2.4057321548461914,75.49858100690457,64.94542244657858,53.58329445461792,45.055188794584744,34.19713160069221,7.270928017753005,58.829751649871646,50.09311264611006,57.38263095314455,46.94515015627932,119.18003044826686,74.90341646411652
10,5,47.938496,1.5262576341629028,41.421783,1.6752886772155762,75.48621214006376,64.95814015407183,52.131062966485786,44.04018320547275,36.493704210623356,8.050890970110638,58.041103336837956,49.25455220009636,55.81533301867197,45.706315823680235,88.42243768723554,52.31067297999259
12,6,46.752216,0.29829245805740356,40.500427,0.37107813358306885,75.48621214006376,64.95814015407183,50.4706086876704,42.75625857456193,38.06522408044113,7.354776436789173,57.36739192666969,48.82404795877025,54.486206247141105,45.003500002930195,62.736862552960666,41.434983940519054
14,5,46.697044,0.2920663058757782,40.30381,0.4579783082008362,75.48621214006376,64.95814015407183,49.457138763290104,41.73786428669247,38.138312880353844,5.5755011732294975,56.98803372248464,48.48598207646081,53.86842062998319,44.745606395019486,57.68414687959786,39.86570635816773
16,3,46.540516,0.5273606777191162,40.352554,0.3354974687099457,75.48621214006376,64.95814015407183,48.68966380068668,40.90250051026744,38.34567322930069,4.4157997982101085,56.61232078955597,48.36642126750971,53.19668438277194,44.338356444655425,52.58657381136445,38.577538794706754
18,1,46.374187,0.0,40.397137,0.0,75.48621214006376,64.95814015407183,48.24801743473604,40.49746275683994,38.56601602497199,3.8837450011045647,56.290435676701655,47.88668495847473,52.845917792266995,43.798301198200605,47.51989862274026,37.54981823206558
