num_points,dataset_name,num_samples,mean_l2,std_l2,median_l2,mae_x,mae_y,rmse_x,rmse_y,original_mean_l2,original_median_l2,sim_rbf_mean_l2,sim_rbf_median_l2,similarity_mean_l2,similarity_median_l2,polynomial_mean_l2,polynomial_median_l2,tps_mean_l2,tps_median_l2,pwa_mean_l2,pwa_median_l2,simtps_mean_l2,simtps_median_l2,simpwa_mean_l2,simpwa_median_l2,orig_improvement_pct,sim_improvement_pct
4,4points_1,1996,50.422165,32.735516,43.945847,34.371643,29.914928,45.05372,39.801647,75.48621214006376,64.95814015407183,62.36628760943934,54.36211524587918,65.60169829308649,57.702107683071446,93.98500871187692,76.20739169370216,62.68324131534346,52.218612658580994,103.13599798767368,57.72890760465835,62.683241316358405,52.218612659403234,103.13599798767368,57.728907604658424,33.203477181456044,19.1515691414016
6,6points_1,1996,47.894848,31.361223,40.995644,31.924463,29.048473,42.289173,38.58845,75.48621214006376,64.95814015407183,56.13383874653305,48.171653092682746,60.59220634388146,52.51693130698648,62.14975074574339,50.7142246316479,56.967264011634406,46.70239729321584,93.40698078130777,49.197855449433476,56.96726401430089,46.70239729399722,93.40698078130777,49.19785544943359,36.55152840229321,14.677405038808008
6,6points_2,1996,48.15792,30.908564,41.481483,32.492733,28.915789,42.65081,38.150135,75.48621214006376,64.95814015407183,55.976112103090266,47.13925453206187,60.86153299350385,52.59055632398679,65.42573579298542,53.229820635040085,57.282802589441125,46.478770040719084,87.40010696587744,49.18505860223358,57.282802592199616,46.47877004896483,87.40010696587743,49.185058602233525,36.20302374154647,13.967013734875493
6,6points_3,1996,51.842857,33.336838,44.456306,35.38227,30.512741,46.41549,40.554028,75.48621214006376,64.95814015407183,53.74564245284137,45.409860766820245,59.461823012785004,49.841908978893,73.1679209627054,58.48129406502015,57.25308243925417,47.46563603310087,138.6394875640985,60.165286009316915,57.25308244276971,47.46563604151785,138.6394875640985,60.165286009316894,31.321421633071157,3.5403523060890216
6,6points_4,1996,52.260155,33.60962,44.519234,35.07602,31.476753,45.45478,42.36264,75.48621214006376,64.95814015407183,54.96074665486054,46.10471785893013,59.15973579372817,49.751582500677,91.39468394622153,67.1809746031052,58.55137324494723,47.48367065411973,170.62821487729335,147.06289967203233,58.551373249784085,47.483670660669745,170.62821487729335,147.06289967203233,30.76860893860589,4.913674022113413
8,8points_1,1996,47.555195,30.821663,40.481796,31.942127,28.823666,41.99012,38.05655,75.48621214006376,64.95814015407183,53.998919422257195,45.93614024353478,59.148040444690665,51.411576418124724,61.57944513178463,50.77874762117332,57.038541912279456,46.273046153760205,86.02417825232365,47.04945181615375,57.038541919821306,46.273046157873,86.02417825232365,47.04945181615375,37.00148211636552,11.933062062099157
8,8points_2,1996,51.269485,33.09282,44.046886,34.678226,30.377785,45.588673,40.56313,75.48621214006376,64.95814015407183,52.4665991840873,43.74666540202395,58.545381534851586,49.028259361780016,58.258264019758,47.94042252095126,56.23874836757394,46.60066832790504,137.05006221148477,57.06312757564331,56.238748373297106,46.60066833355255,137.05006221148474,57.06312757564325,32.08099330974125,2.281668202381913
8,8points_3,1996,47.12347,30.496498,40.698227,31.346806,28.691395,41.56916,37.718204,75.48621214006376,64.95814015407183,53.341689388516755,44.99317138291881,58.6149157675679,50.17435319782764,62.34294216133662,52.3747894854982,56.733566822353694,46.47511720165514,82.56022765930662,46.874036436755176,56.733566836952484,46.47511719390487,82.5602276593066,46.874036436755134,37.573407155522055,11.65733435405387
8,8points_4,1987,52.774788,34.03122,45.277378,35.005596,32.020893,45.581585,43.19284,75.53568760742698,64.90726932409883,54.52596982361044,45.544778149861436,59.010668852376426,49.75826160670783,72.7567073547483,55.68865190423439,59.51966671037113,48.43176894179689,171.08565366995242,148.62705002791384,59.519666720600405,48.43176892332886,171.08565366995242,148.62705002791384,30.132643821139986,3.211647452477082
10,10points_1,1996,47.151035,30.42316,40.716537,31.501663,28.654913,41.540413,37.725094,75.48621214006376,64.95814015407183,52.35598520949117,44.57067837370376,58.11515993127336,49.39672597170514,54.54185753901675,44.84106189368623,56.01407650273393,45.80263956445326,68.50500613642026,43.635678715024085,56.014076513766184,45.802639551900555,68.50500613642028,43.635678715024056,37.536890549826886,9.941461095282229
10,10points_2,1996,46.804382,30.115898,40.277946,31.277096,28.331114,41.315063,37.291866,75.48621214006376,64.95814015407183,51.59556616897437,43.23360376977308,57.63706641792583,49.380414600131964,57.051446303222065,48.154167031482814,54.63770676197783,44.749176053051045,80.90790216760921,46.11894498646086,54.63770677362318,44.74917606391074,80.90790216760922,46.11894498646087,37.996117440130945,9.286037930206247
10,10points_3,1996,48.351074,30.679432,42.184456,33.010727,28.672628,42.835217,38.00261,75.48621214006376,64.95814015407183,51.97886519216055,44.020168337028025,59.37122465295149,50.44456415133027,59.17258171998751,47.01310367061943,55.56478995393899,45.31314954787667,68.13033383927102,43.6229968938643,55.564789959656494,45.313149588630395,68.13033383927103,43.6229968938643,35.94714471957453,6.9793577832047236
10,10points_4,1996,46.946175,30.576326,39.93413,30.981714,28.80412,41.031494,38.148014,75.48621214006376,64.95814015407183,52.063723331474655,44.31612884804417,57.61471718999807,48.986839104459925,62.317001466570105,50.38928499638787,54.680894472587354,45.36880778416327,82.43362130543494,46.44063189082408,54.68089449612156,45.36880778386726,82.43362130543493,46.44063189082398,37.8082787695401,9.829394408292071
10,10points_5,1996,50.43982,32.399525,43.995857,33.34454,30.80929,43.86657,40.86109,75.48621214006376,64.95814015407183,52.66117493032816,44.06033669881471,57.467348492041,48.06421717285451,69.51673553100206,51.64109140866973,58.179197402121744,47.29780616885694,142.1353249874423,81.73511241378964,58.179197411721674,47.297806158752884,142.13532498744232,81.73511241378965,33.180089574044295,4.218203633567915
12,12points_1,1996,46.553387,30.338404,40.471794,31.372683,27.997515,41.28955,37.186146,75.48621214006376,64.95814015407183,49.84582781439586,42.61664957037215,57.433978971532646,48.92087836588625,53.99086699311885,43.141411868672435,53.49451797796757,44.454466072068584,48.79523090942106,38.16815775819273,53.49451798705645,44.45446607324004,48.79523090942106,38.168157758192955,38.328622713439145,6.605249166335556
12,12points_2,1996,46.248764,29.90315,40.003086,30.88201,28.03971,40.96411,36.81152,75.48621214006376,64.95814015407183,50.74036941727148,42.664587251193254,57.2313463623499,48.41416617768387,56.398589809487056,45.22149593849586,55.081749373923195,45.50176549357616,66.45218448694851,42.234653110492715,55.08174939046929,45.50176549721853,66.45218448694851,42.23465311049257,38.73217011833643,8.852133775866141
12,12points_3,1996,47.018593,30.416206,40.227734,31.32184,28.584446,41.330063,37.785175,75.48621214006376,64.95814015407183,51.02333512098743,43.353516058479,57.156148860665965,49.01956631439565,56.90601717022126,47.42499909952032,54.192617034612475,44.64469701410163,80.4628121296637,45.29444314999412,54.19261704961459,44.644697005038054,80.4628121296637,45.29444314999418,37.712343086933245,7.8488446061368995
12,12points_4,1996,46.961792,30.05367,41.069412,32.032074,27.872734,41.855415,36.834183,75.48621214006376,64.95814015407183,50.13122951741606,42.71113196348852,57.69149304170352,49.09027292115421,53.693849178018226,43.18805692349261,54.60627106167078,44.35713682105884,49.290285132255875,38.51883486285027,54.60627107202641,44.35713682581401,49.29028513225587,38.518834862850284,37.78758973221433,6.322281651056389
12,12points_5,1996,46.94089,30.310083,40.52624,31.617428,28.237907,41.469738,37.448757,75.48621214006376,64.95814015407183,49.78021391966437,41.69894603899019,57.377523879552975,48.96257457284074,53.79538537146249,44.565320696298905,54.45753762181912,45.07892548414982,63.43703586924293,41.629842688958675,54.4575376436081,45.078925492432894,63.43703586924293,41.62984268895865,37.81527786985671,5.703717260792303
12,12points_6,1996,46.78987,30.54819,40.704277,31.01697,28.571037,41.283165,37.658787,75.48621214006376,64.95814015407183,51.3026763362872,43.492720564848455,57.313860444213155,48.53682940066075,53.787037941223325,45.0263195062246,55.08454441285354,45.98400913262612,67.98362679023185,42.76397207262582,55.084544436676545,45.98400918985564,67.98362679023185,42.763972072625656,38.015340961866954,8.796432160547749
14,14points_1,1996,46.72694,30.123135,40.82693,31.591417,28.051771,41.374134,37.13477,75.48621214006376,64.95814015407183,49.513445350915774,42.13370038470813,57.23040201915448,48.97758656056337,53.670134933015966,42.25928508599424,53.70664538772551,44.38243040748466,48.73105810293262,38.018108510953866,53.70664540062244,44.382430409601895,48.73105810293263,38.01810851095391,38.09870858491611,5.627774791549502
14,14points_2,1996,46.71143,30.307583,40.409912,31.112965,28.415308,41.28408,37.36485,75.48621214006376,64.95814015407183,50.213307499523125,42.48036929745858,56.78828347163259,48.151183245640475,52.522313470790124,44.541690802963934,54.49290080339311,45.08820749005255,66.01281761446063,41.874976196833,54.492900820216036,45.08820753271709,66.01281761446063,41.874976196832996,38.11925612418494,6.974003661497735
14,14points_3,1996,46.978146,30.186413,40.36737,31.893385,28.043045,41.66533,37.177486,75.48621214006376,64.95814015407183,49.433741847427896,41.494344056369044,57.25173602603362,48.59626500415506,54.441644776933565,43.32336143808607,53.734817439290204,44.67179240259983,62.74370961264015,40.815653182069646,53.73481745403492,44.67179239983653,62.74370961264015,40.81565318206964,37.765925368996065,4.967449673629005
14,14points_4,1996,46.211742,30.131872,39.563686,31.033525,27.89012,40.969345,36.94547,75.48621214006376,64.95814015407183,48.84119577506831,41.34444717331564,56.65670129759003,48.485299419649905,54.340666359711626,44.29534628039565,54.10661416499589,44.9687183873475,48.94688469424927,38.404254665525386,54.106614187124414,44.968718391711114,48.94688469424928,38.404254665525386,38.78121435557302,5.383679355548257
14,14points_5,1996,46.856964,30.40873,40.351143,31.541752,28.206831,41.38458,37.517765,75.48621214006376,64.95814015407183,49.28400334351544,41.23646052161094,57.013045798012435,48.21957615229521,53.71159684720496,42.652862387311146,53.30112535451124,44.61688328761287,61.98626437370661,40.21553923545677,53.301125369504284,44.61688330342909,61.98626437370661,40.215539235456916,37.92645996809909,4.924598383922986
16,16points_1,1996,46.191982,30.257973,40.208862,30.950409,27.928865,40.906963,37.092644,75.48621214006376,64.95814015407183,48.43087181006283,40.89130720855417,56.36302108434367,48.20284809836228,52.805353671641896,42.27755511835501,53.05902206042972,44.27836064250874,47.55462009417748,37.58050218649265,53.059022079297485,44.27836062917729,47.55462009417748,37.58050218649278,38.807391496107336,4.622856159922632
16,16points_2,1996,46.282345,29.91993,40.112835,31.287355,27.767746,41.137108,36.674187,75.48621214006376,64.95814015407183,48.534452377375914,40.822134342451974,56.46828632542703,48.73988965063007,53.38966272577157,42.81604878350619,53.44435811165891,44.46528039577265,48.25355843764648,38.066249533221054,53.44435812830168,44.46528037620824,48.253558437646475,38.06624953322108,38.687684139934184,4.64022451875956
16,16points_3,1996,47.14722,30.284697,40.735966,31.861809,28.285809,41.637833,37.50085,75.48621214006376,64.95814015407183,49.10366721462131,40.99405997979618,57.005654958897225,48.156526053536766,53.60389196664252,42.828506033382325,53.0866729762272,44.271428295684885,61.951542902269395,40.08586466440656,53.086672990833854,44.27142828412343,61.95154290226939,40.08586466440687,37.54194405186054,3.9843187159481346
