model,mean_error,variance
similarity,57.69022865448078,1912.1788587098163
poly,57.39935168316351,2057.0288268694567
"rbf[thin_plate,s=1.0]",55.37861101711325,2074.642681344326
"rbf[multiquadric,s=0.0]",57.229315388621984,2183.444359852112
"rbf[multiquadric,s=1.0]",91.53622180202645,3429.16968469961
"rbf[multiquadric,s=2.0]",139.01423448542823,8353.946751271593
tps,54.9651174119365,1939.6902023162015
pwa,77.74244248575798,8344.715569129
gpr,55.8596794951853,1793.1379862681006
"sim+rbf[thin_plate,s=1.0]",55.120487665430204,2019.2135668583292
"sim+rbf[multiquadric,s=0.0]",57.19186381883261,2329.666027833801
"sim+rbf[multiquadric,s=1.0]",51.117207749666015,1525.9596172774143
"sim+rbf[multiquadric,s=2.0]",51.67345684523432,1541.6683978995336
sim+tps,54.965117432251745,1939.6902080253917
sim+pwa,77.74244248575798,8344.715569129
sim+gpr,52.915314175599356,1634.0903942018545
