x,y
1183,599
1197,564
1199,554
1193,594
1191,624
1167,648
1203,628
1225,623
1231,609
1221,583
1188,552
1159,545
1168,546
1182,558
1181,559
1169,564
1166,564
1162,556
1170,537
1197,548
1201,540
1200,563
1194,570
1181,564
1172,552
1171,552
1201,541
1224,520
1231,521
1227,532
1221,568
1214,591
1185,618
1178,610
1166,587
1168,592
1165,592
1164,605
1163,627
1166,626
1165,626
1167,633
1165,649
1157,645
1153,627
1159,619
1160,627
1169,626
1166,610
1163,607
1163,605
1166,606
1166,608
1158,613
1160,608
1154,606
1148,601
1157,606
1188,599
1179,585
1171,580
1163,568
1169,579
1165,590
1168,629
1181,639
1180,644
1169,657
1161,663
1158,644
1164,610
1162,611
1151,619
1174,612
1182,610
1176,617
1174,632
1168,626
1179,614
1197,627
1204,628
1197,623
1196,625
1198,628
1198,639
1215,644
1197,643
1200,634
1200,629
1187,622
1157,625
1144,641
1142,648
1137,644
1145,631
1148,618
1171,620
1201,606
1196,597
1207,597
1196,618
1190,617
1194,618
1203,600
1195,605
1194,606
1206,609
1198,607
1184,610
1173,605
1171,598
1161,580
1172,585
1173,604
1173,601
1176,588
1165,590
1140,618
1145,639
