timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T21:21:12.935,0,283,238,267,245,-15,6,40.1,100
2025-10-16T21:21:19.349,10,1175,953,1214,847,39,-106,17.97,101
2025-10-16T21:21:25.768,6,1175,596,1164,574,-10,-22,38.38,98
2025-10-16T21:21:32.177,8,283,953,267,874,-15,-79,56.2,102
2025-10-16T21:21:38.576,9,729,953,763,816,33,-137,41.38,101
2025-10-16T21:21:44.983,11,1621,953,1598,893,-22,-60,36.64,100
2025-10-16T21:21:51.402,1,729,238,710,254,-18,15,56.09,101
2025-10-16T21:21:57.816,7,1621,596,1592,614,-28,17,44.95,100
2025-10-16T21:22:04.226,5,729,596,713,538,-15,-57,51.14,99
2025-10-16T21:22:10.635,3,1621,238,1591,243,-29,4,35.98,100
2025-10-16T21:22:17.042,4,283,596,328,581,44,-15,39.36,100
2025-10-16T21:22:23.435,2,1175,238,1168,258,-6,19,31.75,101
