model,mean_error,variance
similarity,57.39096111027944,1841.5510348733496
poly,52.56082885489864,1534.2911115611753
"rbf[thin_plate,s=1.0]",55.10155301233614,2065.778395656123
"rbf[multiquadric,s=0.0]",57.6046120732852,2614.360144361751
"rbf[multiquadric,s=1.0]",83.72926227988376,2808.228190875873
"rbf[multiquadric,s=2.0]",122.46364708755952,6137.512574247986
tps,54.80770931633926,1964.2424531104245
pwa,65.16949322482277,5237.168740647746
gpr,54.16545676172385,1447.2513218568165
"sim+rbf[thin_plate,s=1.0]",54.92784464727785,2024.807297632604
"sim+rbf[multiquadric,s=0.0]",57.23322411052494,2842.2174783808846
"sim+rbf[multiquadric,s=1.0]",50.23412814852637,1419.5280524599502
"sim+rbf[multiquadric,s=2.0]",50.837564740589656,1448.0015359525426
sim+tps,54.80770933840456,1964.2424616553535
sim+pwa,65.16949322482277,5237.168740647745
sim+gpr,53.30426168759567,1600.3858538989082
