x,y
785,563
798,548
807,565
816,601
814,606
806,607
798,613
808,608
808,604
803,593
803,594
782,599
777,595
778,590
780,599
775,591
766,583
766,597
752,576
746,557
754,550
754,574
736,594
719,596
711,592
716,591
723,594
715,609
729,621
769,608
792,581
759,589
752,604
756,609
763,602
764,601
745,587
737,576
738,568
757,573
762,577
764,583
760,594
757,593
755,591
759,607
751,633
740,632
736,627
762,633
754,646
740,660
725,641
733,609
741,571
757,604
764,614
743,582
736,549
735,544
742,541
713,566
727,585
739,598
745,582
748,575
750,571
748,561
744,557
742,564
744,596
769,603
778,616
771,615
760,609
753,599
765,630
774,672
780,688
788,679
794,667
797,673
811,683
811,670
814,646
812,642
808,629
806,625
819,617
815,613
806,619
786,614
772,606
778,603
789,597
771,588
770,606
776,619
794,637
800,644
801,647
801,649
814,648
816,643
814,635
802,628
