x,y
1764370841.4290266,985,844
1764370841.4694202,983,844
1764370841.4998262,983,842
1764370841.5341432,981,841
1764370841.5639138,1007,675
1764370841.6041286,1007,661
1764370841.6298587,1008,662
1764370841.6739154,1014,660
1764370841.7139084,1012,657
1764370841.7346368,1005,649
1764370841.7642088,1009,636
1764370841.7941597,1006,631
1764370841.8292024,998,626
1764370841.8648443,997,626
1764370841.8992941,994,619
1764370841.9294257,954,568
1764370841.9646356,813,291
1764370842.00453,800,194
1764370842.0487053,831,181
1764370842.0943778,756,181
1764370842.138696,739,184
1764370842.1649053,743,185
1764370842.200061,919,346
1764370842.2296622,1427,807
1764370842.2646992,1505,853
1764370842.2993155,1554,844
1764370842.3296936,1560,842
1764370842.3637385,1570,840
1764370842.4038937,1575,843
1764370842.429694,1582,843
1764370842.463785,1587,843
1764370842.498848,1592,844
1764370842.5355434,1642,921
1764370842.5702271,1658,952
1764370842.603677,1659,949
1764370842.6400373,1650,939
1764370842.6646364,1650,936
1764370842.6987693,1657,935
1764370842.734169,1656,931
1764370842.7689052,1664,935
1764370842.803888,1659,935
1764370842.8413143,1654,934
1764370842.8692222,1768,885
1764370842.9043624,1773,888
1764370842.9396636,1776,890
1764370842.9646912,1785,1291
1764370843.0042858,1711,962
1764370843.0388598,1791,904
1764370843.0685894,1755,910
1764370843.1085951,1729,972
1764370843.1494186,1790,988
1764370843.1897554,1850,951
1764370843.2210445,1854,953
1764370843.253851,1853,917
1764370843.2847939,1859,920
1764370843.3196626,1873,927
1764370843.3495798,1813,994
1764370843.3856375,1808,994
