x,y
1764370758.2391307,1243,619
1764370758.2809258,1245,616
1764370758.304673,1245,614
1764370758.3396316,1247,616
1764370758.3644905,1246,620
1764370758.3940816,1239,618
1764370758.4346879,1244,618
1764370758.460057,1249,612
1764370758.4897072,1245,611
1764370758.5297892,1061,596
1764370758.5595713,720,574
1764370758.5902238,737,561
1764370758.6296976,738,564
1764370758.6596503,730,557
1764370758.6895154,783,457
1764370758.7350473,1122,292
1764370758.759329,1184,326
1764370758.799096,1210,260
1764370758.834083,1224,262
1764370758.874339,1229,255
1764370758.910084,1240,248
1764370758.9492493,1240,245
1764370758.9741957,1230,227
1764370759.0045617,1221,215
1764370759.039628,1211,212
1764370759.0748022,1200,212
1764370759.114872,1198,206
1764370759.1542292,1205,204
1764370759.1944554,1209,196
1764370759.22458,1224,178
1764370759.2542853,1218,214
1764370759.2849467,1223,228
1764370759.3150053,1220,223
1764370759.3443606,1218,223
1764370759.375309,1227,218
1764370759.4092162,1233,213
1764370759.4446442,1235,207
1764370759.4837134,1231,199
1764370759.5042639,1211,180
1764370759.5396862,1191,176
1764370759.5697367,1189,180
1764370759.5999532,1197,180
1764370759.644445,1190,175
1764370759.6892061,1186,171
1764370759.7199616,1176,163
1764370759.7648458,1184,152
1764370759.7843206,1194,145
1764370759.8091478,1195,150
1764370759.8410797,1196,163
1764370759.8694832,1203,180
1764370759.8998675,1207,198
1764370759.9345598,1210,210
1764370759.9694848,1206,208
1764370760.0010273,1201,215
1764370760.0396473,1221,222
1764370760.0743105,1222,222
1764370760.0994253,1228,219
1764370760.1344295,1225,228
1764370760.1695588,1224,245
1764370760.2051537,1221,256
