x,y
1764370837.020162,949,805
1764370837.0540605,953,805
1764370837.084285,951,811
1764370837.1142435,954,809
1764370837.1441534,950,812
1764370837.1802251,952,812
1764370837.2193573,954,813
1764370837.2608063,949,812
1764370837.2956696,942,808
1764370837.3448243,948,808
1764370837.3742201,945,805
1764370837.416022,942,802
1764370837.4544747,942,802
1764370837.494676,941,806
1764370837.514482,941,802
1764370837.54952,940,801
1764370837.5826454,936,802
1764370837.6211815,937,805
1764370837.6594398,937,812
1764370837.6956508,936,814
1764370837.726832,939,816
1764370837.7649918,942,820
1764370837.8011162,939,817
1764370837.8340375,931,816
1764370837.8694367,927,817
1764370837.9043107,925,816
1764370837.9343452,932,811
1764370837.9692357,932,809
1764370837.994294,929,811
1764370838.030008,925,808
1764370838.059932,926,807
1764370838.1094575,921,807
1764370838.1499124,922,802
1764370838.175353,925,799
1764370838.2046902,924,801
1764370838.2390382,924,799
1764370838.2646098,932,806
1764370838.3049161,933,809
1764370838.33006,930,813
1764370838.3639317,932,1164
1764370838.3946111,930,813
1764370838.4301252,932,814
1764370838.4595401,936,816
1764370838.4899182,938,819
1764370838.5194867,933,819
1764370838.5690289,934,807
1764370838.6092455,929,803
1764370838.6297688,923,803
1764370838.6695843,925,806
1764370838.7040823,932,819
1764370838.7442079,936,827
1764370838.7948554,929,834
1764370838.8241732,932,825
1764370838.8540726,931,824
1764370838.8845148,927,824
1764370838.9142952,928,823
1764370838.9438565,934,823
1764370838.9796462,928,819
1764370839.0191433,928,813
1764370839.049,925,813
1764370839.0792086,926,816
1764370839.1192272,930,818
1764370839.149285,932,819
1764370839.1792104,935,816
1764370839.2292495,946,805
1764370839.264217,947,777
1764370839.2897573,952,779
1764370839.3199785,957,783
1764370839.3643568,953,783
1764370839.3992856,951,784
1764370839.4248207,953,783
1764370839.461492,1013,747
1764370839.4941466,950,780
1764370839.523871,948,781
1764370839.5500977,946,779
1764370839.5844262,948,779
1764370839.6146882,951,778
1764370839.6493144,953,778
1764370839.6840165,951,777
1764370839.7292342,918,783
1764370839.7638514,917,780
1764370839.799268,914,780
1764370839.8394835,915,787
1764370839.8795717,917,789
1764370839.9090538,911,790
1764370839.9394474,908,791
1764370839.9696267,908,791
1764370839.9997811,906,788
1764370840.0295415,900,799
1764370840.0639348,895,809
1764370840.0942988,891,812
1764370840.124207,889,813
1764370840.1539292,887,809
1764370840.1892056,892,808
1764370840.219767,961,835
1764370840.2548106,980,833
1764370840.2891314,992,836
1764370840.3193135,993,838
1764370840.3542054,992,841
1764370840.3899593,994,844
1764370840.419596,997,849
1764370840.4538336,1010,857
1764370840.488915,1001,855
1764370840.5239043,1000,854
1764370840.5595682,1000,851
1764370840.594337,1000,847
1764370840.624591,1003,847
1764370840.6588945,1004,848
1764370840.689083,1000,853
1764370840.7239223,1004,1240
1764370840.7558875,1002,849
1764370840.7939582,1002,849
1764370840.82411,998,848
1764370840.8544567,998,852
1764370840.8945932,996,852
1764370840.9347186,992,854
1764370840.9694297,992,855
1764370841.0088935,993,859
