held,n_test_trials,baseline_anchor_K1,baseline_raw_K1,baseline_anchor_K2,baseline_raw_K2,baseline_anchor_K3,baseline_raw_K3,baseline_anchor_K5,baseline_raw_K5,baseline_anchor_K8,baseline_raw_K8,baseline_anchor_K12,baseline_raw_K12,baseline_anchor_K18,baseline_raw_K18,v1_scalar_K1,v1_scalar_K2,v1_scalar_K3,v1_scalar_K5,v1_scalar_K8,v1_scalar_K12,v1_scalar_K18,v3_spatial_K1,v3_spatial_K2,v3_spatial_K3,v3_spatial_K5,v3_spatial_K8,v3_spatial_K12,v3_spatial_K18,v4a_spreadfeat_K1,v4a_spreadfeat_K2,v4a_spreadfeat_K3,v4a_spreadfeat_K5,v4a_spreadfeat_K8,v4a_spreadfeat_K12,v4a_spreadfeat_K18,v4b_invvar_K1,v4b_invvar_K2,v4b_invvar_K3,v4b_invvar_K5,v4b_invvar_K8,v4b_invvar_K12,v4b_invvar_K18,v4c_full_K1,v4c_full_K2,v4c_full_K3,v4c_full_K5,v4c_full_K8,v4c_full_K12,v4c_full_K18
judo_120,4,82.46394348144531,194.0762939453125,82.47071838378906,143.08738708496094,82.87397766113281,117.16331481933594,82.90309143066406,103.24116516113281,82.17034149169922,100.26734161376953,82.04776000976562,95.41773986816406,81.6135482788086,88.72689056396484,82.55179595947266,82.63398742675781,82.9703140258789,82.92691802978516,82.25385284423828,82.13687133789062,81.64099884033203,82.59013366699219,82.6453628540039,82.98204040527344,82.94998168945312,82.259765625,82.13313293457031,81.64501190185547,83.68431091308594,83.2596206665039,83.22010040283203,82.82476806640625,82.33870697021484,82.29890441894531,81.646484375,82.53273010253906,82.49089813232422,82.86809539794922,82.8114013671875,82.12763977050781,82.10072326660156,81.67186737060547,82.44351196289062,82.46237182617188,82.86682891845703,82.886474609375,82.16110229492188,82.0535659790039,81.6206283569336
judo_148,4,56.35918426513672,75.95658874511719,56.51572799682617,66.47431945800781,56.257450103759766,76.05748748779297,56.12273406982422,76.29222869873047,55.991943359375,65.91275024414062,56.28132629394531,62.79387664794922,56.517539978027344,62.848480224609375,56.9467887878418,56.62004470825195,56.97974395751953,56.99055099487305,56.18443298339844,56.2929801940918,56.54169845581055,56.81406021118164,56.56828689575195,56.693504333496094,56.59772872924805,56.095191955566406,56.27299118041992,56.522560119628906,56.36137008666992,56.514617919921875,56.26551818847656,56.13139724731445,55.993263244628906,56.280086517333984,56.516563415527344,56.36807632446289,56.5075798034668,56.25688934326172,56.129920959472656,55.97731018066406,56.27070617675781,56.50876235961914,56.37904739379883,56.502769470214844,56.24751663208008,56.1192512512207,55.97273635864258,56.2666130065918,56.50719451904297
judo_155,4,78.79693603515625,152.2146453857422,78.75750732421875,87.8524398803711,79.05636596679688,84.13310241699219,79.33674621582031,87.3274154663086,80.04377746582031,83.24554443359375,80.07561492919922,87.4153823852539,79.91466522216797,84.42967987060547,78.68858337402344,78.73529052734375,79.03968048095703,79.32511138916016,80.02992248535156,80.07015991210938,79.91353607177734,78.63644409179688,78.70603942871094,79.01814270019531,79.31425476074219,80.00917053222656,80.05318450927734,79.9076156616211,79.1352767944336,78.60955810546875,78.94111633300781,79.29252624511719,79.95320129394531,80.08489227294922,79.93359375,78.58734130859375,78.73429107666016,78.99725341796875,79.29312896728516,80.00542449951172,80.05108642578125,79.94750213623047,78.76002502441406,78.7481460571289,78.95670318603516,79.2625961303711,79.97632598876953,80.03306579589844,79.98076629638672
judo_169,4,92.1050796508789,131.5782012939453,91.96839141845703,111.62166595458984,91.99297332763672,106.97201538085938,92.3651351928711,102.5979995727539,92.73233795166016,99.71693420410156,92.11248016357422,101.58834075927734,92.04124450683594,98.93999481201172,92.15736389160156,91.99598693847656,91.97222900390625,92.34248352050781,92.71743774414062,92.11827087402344,92.05259704589844,92.12512969970703,91.97919464111328,91.98387145996094,92.3554916381836,92.72583770751953,92.1145248413086,92.04570770263672,92.23385620117188,92.0363998413086,91.95355987548828,92.32018280029297,92.6991195678711,92.12611389160156,92.06612396240234,92.1292495727539,91.96867370605469,91.98343658447266,92.35416412353516,92.73015594482422,92.11206817626953,92.05255126953125,92.13973236083984,91.97736358642578,91.98542022705078,92.35420989990234,92.7291259765625,92.11178588867188,92.05370330810547
judo_25,4,91.13243103027344,105.6053466796875,91.29911804199219,107.59847259521484,90.72028350830078,119.13042449951172,90.7745590209961,112.86442565917969,90.1223373413086,104.54669189453125,90.20323181152344,100.42227172851562,89.00031280517578,100.79884338378906,90.78655242919922,90.9699478149414,90.36243438720703,90.36482238769531,89.8606185913086,89.99423217773438,88.96356964111328,90.80651092529297,91.05432891845703,90.50106048583984,90.4716796875,89.94702911376953,90.03007507324219,88.9622573852539,90.4710922241211,90.62872314453125,89.99095153808594,89.9309310913086,89.56019592285156,89.77529907226562,88.9676284790039,91.04167938232422,91.2651596069336,90.74549865722656,90.7474594116211,90.08094024658203,90.17383575439453,89.00172424316406,91.04553985595703,91.2552490234375,90.7117919921875,90.72479248046875,90.075439453125,90.1751937866211,89.00823974609375
judo_30,4,72.62680053710938,80.15626525878906,72.87188720703125,74.91868591308594,73.2245101928711,74.161376953125,72.60215759277344,92.65667724609375,72.00985717773438,82.91278076171875,72.19679260253906,78.59166717529297,72.59928894042969,76.65067291259766,72.56494140625,72.97296905517578,73.191650390625,73.9619140625,72.60011291503906,72.36681365966797,72.67487335205078,72.57286071777344,72.98101806640625,73.19342803955078,74.12959289550781,72.7093734741211,72.40815734863281,72.69855499267578,72.59368133544922,72.85923767089844,73.20431518554688,72.60344696044922,71.98231506347656,72.16764831542969,72.58060455322266,72.6109848022461,72.87752532958984,73.22483825683594,72.6024398803711,72.00517272949219,72.19145965576172,72.59434509277344,72.59923553466797,72.88229370117188,73.22523498535156,72.6029281616211,72.00191497802734,72.1874771118164,72.59059143066406
