x,y
1764372643.5092552,1133,206
1764372643.547997,1124,202
1764372643.5889843,1118,204
1764372643.633063,1133,226
1764372643.6737344,1126,208
1764372643.708486,1121,195
1764372643.7384017,1120,192
1764372643.778857,1112,197
1764372643.8234773,1111,205
1764372643.847795,1117,209
1764372643.8833156,1116,197
1764372643.9193094,1130,180
1764372643.9532492,855,296
1764372643.9834385,752,283
1764372644.018736,777,272
1764372644.0533552,807,286
1764372644.0891383,808,300
1764372644.133361,776,320
1764372644.172892,330,453
1764372644.2091322,375,388
1764372644.238691,390,416
1764372644.2785985,373,443
1764372644.3130975,357,454
1764372644.3479073,101,537
1764372644.3831758,45,537
1764372644.4186432,48,510
1764372644.4578314,41,518
1764372644.4934664,47,505
1764372644.5288343,34,508
1764372644.563396,22,509
1764372644.59828,-1,510
1764372644.6337018,0,511
1764372644.6831474,5,482
1764372644.734511,-10,487
1764372644.773367,21,520
1764372644.8028252,48,532
1764372644.8385665,53,531
1764372644.872798,95,531
1764372644.9031625,157,550
1764372644.94305,127,576
1764372644.973626,91,592
1764372645.0036044,84,598
1764372645.0432563,83,597
1764372645.0728924,93,598
1764372645.1034594,96,578
1764372645.139174,130,578
1764372645.169599,140,548
1764372645.2082381,171,552
1764372645.238674,167,573
1764372645.2785783,159,565
1764372645.308163,140,547
1764372645.3427894,127,560
1764372645.3857327,120,562
1764372645.4127598,100,534
1764372645.449671,89,509
