model,mean_error,variance
similarity,59.38400296990649,2131.392674997341
poly,70.94812305197723,4148.509295920449
"rbf[thin_plate,s=1.0]",83.78878574209148,6677.266755287827
"rbf[multiquadric,s=0.0]",103.37975350506703,10872.611002495232
"rbf[multiquadric,s=1.0]",224.92114778256786,41958.272342146396
"rbf[multiquadric,s=2.0]",313.99320976853807,70515.73975315664
tps,60.15109005746351,2498.1357705926293
pwa,163.94886406473728,16109.062166666085
gpr,114.83478314079672,11338.524465402952
"sim+rbf[thin_plate,s=1.0]",63.60416374789921,3089.2904812591464
"sim+rbf[multiquadric,s=0.0]",59.68278270430914,2231.4711540361113
"sim+rbf[multiquadric,s=1.0]",54.7891016525431,1872.525465897302
"sim+rbf[multiquadric,s=2.0]",55.257265291596624,1888.9366780469554
sim+tps,60.15109006935569,2498.1357721733016
sim+pwa,163.94886406473728,16109.062166666085
sim+gpr,58.22424063991886,2036.770448499164
