model,mean_error,variance
similarity,58.05721841421499,1905.5456136396017
poly,70.22038653794144,15411.172731614975
"rbf[thin_plate,s=1.0]",68.0347045623597,3712.505495532133
"rbf[multiquadric,s=0.0]",82.16836915983298,5331.216028647452
"rbf[multiquadric,s=1.0]",162.44581234948473,17378.98678873813
"rbf[multiquadric,s=2.0]",221.71423948072388,29696.644000580938
tps,58.586811004678154,2372.317469853988
pwa,138.17689427785652,15018.730178779635
gpr,97.7689495439324,8872.278618314987
"sim+rbf[thin_plate,s=1.0]",59.12047673180346,2367.937193414641
"sim+rbf[multiquadric,s=0.0]",57.733189776425824,2025.301451017739
"sim+rbf[multiquadric,s=1.0]",52.57400760802703,1620.5893933773655
"sim+rbf[multiquadric,s=2.0]",53.31533110792603,1651.226973412309
sim+tps,58.58681101623895,2372.3174719533486
sim+pwa,138.17689427785652,15018.730178779635
sim+gpr,56.775850112982695,1801.7177780587012
