x,y
1765421200.7277708,339,319
1765421200.771882,365,328
1765421200.811872,606,273
1765421200.8585799,769,1698
1765421200.9026456,1024,433
1765421200.9418013,1036,304
1765421200.9872832,1043,302
1765421201.0320919,946,425
1765421201.0774057,941,440
1765421201.1177695,929,445
1765421201.1674845,929,425
1765421201.2067575,946,410
1765421201.2519245,1040,290
1765421201.2973325,1074,215
1765421201.3372986,1090,199
1765421201.3785648,1118,198
1765421201.4169655,1133,182
1765421201.4581318,1156,149
1765421201.5022194,1176,135
1765421201.5433643,1173,131
1765421201.5872133,1184,142
1765421201.6276221,1191,152
1765421201.667402,1211,146
1765421201.708193,1214,138
1765421201.7521405,1200,144
1765421201.792209,1190,164
1765421201.8376517,1220,171
1765421201.876984,1203,168
1765421201.9176567,1176,170
1765421201.9572246,1170,178
1765421202.0023682,1175,172
1765421202.0474741,1177,164
1765421202.0872374,1181,169
1765421202.1321623,1166,179
1765421202.1775842,1153,169
1765421202.2225451,1141,174
1765421202.2676735,1132,163
1765421202.3120902,1120,154
1765421202.3518476,1109,146
1765421202.3974583,1116,130
1765421202.4423583,1117,134
1765421202.4821658,1123,153
1765421202.5274882,1134,167
1765421202.5722337,1130,176
1765421202.617232,1110,191
1765421202.6620128,1138,187
1765421202.706853,1148,181
