model,mean_error,variance
similarity,59.07716977002025,1928.9484952031883
poly,62.490031755144294,2195.2492212541647
"rbf[thin_plate,s=1.0]",60.40827025025044,3252.640180167114
"rbf[multiquadric,s=0.0]",62.61719992734074,2494.32542836989
"rbf[multiquadric,s=1.0]",117.59909885714444,4083.3530490243397
"rbf[multiquadric,s=2.0]",168.67598621430272,10560.366023930434
tps,57.18766131228598,2035.3601645313165
pwa,80.68814186947624,9686.190969028163
gpr,69.47432997255913,3124.6850920665597
"sim+rbf[thin_plate,s=1.0]",57.798911609788476,2174.9547786783473
"sim+rbf[multiquadric,s=0.0]",59.76082631641295,2575.0424523632328
"sim+rbf[multiquadric,s=1.0]",53.00418279050772,1576.340254479619
"sim+rbf[multiquadric,s=2.0]",54.02346318211682,1610.1252627490492
sim+tps,57.18766133329472,2035.3601739618562
sim+pwa,80.68814186947623,9686.190969028163
sim+gpr,55.687762830733824,1709.7075400975855
