x,y
1764717492.9248548,646,156
1764717492.9597614,639,159
1764717492.9849994,639,157
1764717493.025663,644,166
1764717493.0553763,658,158
1764717493.1002073,672,159
1764717493.1402493,673,168
1764717493.1651323,663,170
1764717493.19533,662,164
1764717493.2303605,661,161
1764717493.2664497,656,166
1764717493.2953594,654,169
1764717493.3297305,651,175
1764717493.360754,653,173
1764717493.389903,656,208
1764717493.4253397,694,379
1764717493.4547496,671,478
1764717493.4902148,626,612
1764717493.525833,634,626
1764717493.5604212,646,601
1764717493.5957162,651,599
1764717493.6302288,655,587
1764717493.6617775,644,587
1764717493.6956007,648,584
1764717493.7300138,643,590
1764717493.770808,639,581
1764717493.805665,646,579
1764717493.8405905,659,572
1764717493.8704681,669,564
1764717493.8997688,678,550
1764717493.9310088,674,542
1764717493.9602222,676,538
1764717493.990041,675,543
1764717494.0204313,672,528
1764717494.0618072,676,523
1764717494.0904753,678,540
1764717494.125547,678,561
1764717494.1607094,674,577
1764717494.191169,670,572
1764717494.2249553,678,575
1764717494.2657967,686,575
1764717494.2902992,691,551
1764717494.3257637,706,523
1764717494.37015,721,521
1764717494.409826,729,529
1764717494.4353075,712,542
1764717494.465672,701,543
1764717494.4999626,695,545
1764717494.52987,696,550
1764717494.5598407,693,564
1764717494.5952268,689,574
1764717494.6312497,696,573
1764717494.660542,708,578
1764717494.695166,708,584
1764717494.7253404,698,583
1764717494.7601135,697,571
1764717494.8004785,692,560
1764717494.8402665,688,551
1764717494.8801687,692,567
