x,y
1764373273.0036743,1444,402
1764373273.0385652,1436,407
1764373273.068962,1435,413
1764373273.1085742,1440,416
1764373273.1392393,1445,418
1764373273.1735275,1431,430
1764373273.2140899,1428,435
1764373273.2540188,1430,443
1764373273.2895117,1422,446
1764373273.3235848,1443,436
1764373273.358891,1836,962
1764373273.3884714,1705,897
1764373273.4240053,1630,832
1764373273.4540112,1281,641
1764373273.4843814,1030,426
1764373273.5184383,1027,448
1764373273.5537736,1246,617
1764373273.5837405,1224,616
1764373273.6188776,1208,627
1764373273.6540537,1209,660
1764373273.693728,1213,653
1764373273.7287824,1221,635
1764373273.7588067,1229,644
1764373273.7934394,1229,643
1764373273.8234556,1240,626
1764373273.859307,1252,610
1764373273.8891344,1259,620
1764373273.924182,1280,625
1764373273.9534752,1277,614
1764373273.983297,1255,608
1764373274.0188944,1237,618
1764373274.0538905,1245,619
1764373274.0786505,1259,610
1764373274.1134005,1256,612
1764373274.1485646,1261,613
1764373274.1787364,1266,620
1764373274.2137642,1280,617
1764373274.2489262,1281,626
1764373274.289005,1278,632
1764373274.3340724,1275,638
1764373274.3690612,1269,633
1764373274.403691,1280,610
1764373274.4381127,1291,600
1764373274.4689705,1292,616
1764373274.5038981,1273,632
1764373274.5338933,1265,624
1764373274.5689118,1254,619
1764373274.5989993,1254,633
1764373274.633172,1269,634
1764373274.6699238,1286,622
1764373274.7032435,1276,623
1764373274.7385576,1263,619
1764373274.7692778,1270,615
1764373274.8083427,1299,610
1764373274.8334157,1320,592
1764373274.8731334,1318,586
1764373274.908591,1306,596
1764373274.9434316,1301,602
1764373274.9782546,1294,596
