x,y
1764373262.238754,1666,668
1764373262.288842,1636,655
1764373262.3147314,1613,669
1764373262.356282,1608,680
1764373262.3892276,1635,659
1764373262.4244006,1682,647
1764373262.454174,1706,640
1764373262.4837108,1698,640
1764373262.5140753,1682,639
1764373262.5487895,1678,631
1764373262.5791054,1687,619
1764373262.6093948,1683,611
1764373262.6388767,1686,610
1764373262.6686604,1683,613
1764373262.7142248,1675,621
1764373262.7596898,1672,635
1764373262.7840078,1671,642
1764373262.8084881,1668,651
1764373262.838753,1648,665
1764373262.868775,1634,666
1764373262.9098954,1632,663
1764373262.944155,1640,672
1764373262.9837658,1650,673
1764373263.0041828,1657,655
1764373263.0387647,1655,637
1764373263.0739422,1650,635
1764373263.1049163,1648,641
1764373263.1344988,1648,631
1764373263.174865,1646,633
1764373263.203753,1645,623
1764373263.2341893,1648,626
1764373263.2792795,1659,624
1764373263.3088503,1673,623
1764373263.349052,1661,641
1764373263.3887255,1651,656
1764373263.425589,1647,654
1764373263.4545403,1656,649
1764373263.4835591,1660,661
1764373263.5148222,1662,665
1764373263.5442605,1665,670
1764373263.5888236,1663,675
1764373263.631129,1663,675
1764373263.6634738,1665,673
1764373263.7041478,1664,660
1764373263.7288594,1656,636
1764373263.7543998,1644,631
1764373263.789218,1660,629
1764373263.818688,1657,628
1764373263.844454,1660,624
1764373263.8894272,1664,632
1764373263.929059,1674,634
1764373263.9487445,1671,635
1764373263.9794142,1660,629
1764373264.008504,1649,622
1764373264.0445883,1653,615
1764373264.0745869,1657,616
1764373264.1095314,1655,636
1764373264.1590664,1662,654
1764373264.1989598,1663,656
1764373264.2243755,1664,620
1764373264.2495878,1658,606
1764373264.2852247,1659,610
1764373264.313586,1638,633
1764373264.3434744,1629,622
1764373264.39385,1615,620
1764373264.438772,1625,613
1764373264.4798543,1630,630
1764373264.5086925,1635,665
1764373264.5393963,1633,667
1764373264.5742073,1627,661
1764373264.603773,1624,650
1764373264.646248,1615,647
1764373264.6793275,1599,641
1764373264.7187927,1594,644
1764373264.7439117,1599,653
1764373264.7793224,1611,652
1764373264.809118,1616,643
1764373264.8385153,1615,626
1764373264.8737674,1612,616
1764373264.9112184,1608,622
1764373264.948571,1601,631
1764373264.989289,1609,636
1764373265.023791,1612,656
1764373265.0643544,1615,653
1764373265.089906,1621,654
1764373265.119201,1616,662
1764373265.1487372,1623,673
1764373265.1792128,1623,678
1764373265.2191916,1627,684
1764373265.249032,1635,677
1764373265.2846873,1638,671
1764373265.3187976,1630,659
1764373265.348773,1619,667
1764373265.3846266,1615,677
1764373265.4137933,1629,676
1764373265.448833,1650,674
1764373265.4887161,1655,669
1764373265.5242522,1650,666
1764373265.5593462,1647,661
1764373265.5988538,1647,669
1764373265.6386235,1641,678
1764373265.6635625,1647,679
1764373265.6941967,1663,689
1764373265.724191,1665,688
1764373265.7540095,1656,687
1764373265.7842937,1642,672
1764373265.8185997,1644,653
1764373265.8542612,1651,619
1764373265.8839548,1663,597
1764373265.9237697,1668,586
1764373265.9542665,1682,593
1764373265.98458,1691,599
1764373266.0240638,1685,602
1764373266.0545285,1659,602
1764373266.089065,1646,603
1764373266.118388,1656,627
1764373266.1542883,1640,641
1764373266.195966,1616,635
