x,y
1764373223.8353152,484,431
1764373223.8707364,510,410
1764373223.910593,516,400
1764373223.9503264,508,416
1764373223.9797778,498,437
1764373224.015829,486,440
1764373224.0448236,490,444
1764373224.0898347,491,448
1764373224.125123,495,440
1764373224.1548314,503,445
1764373224.191249,514,459
1764373224.2256799,509,474
1764373224.259993,512,487
1764373224.2900558,513,485
1764373224.32508,513,477
1764373224.3557446,496,461
1764373224.384796,491,450
1764373224.4210384,489,423
1764373224.4502246,487,392
1764373224.480621,479,382
1764373224.5099719,477,398
1764373224.5400076,488,420
1764373224.5699172,500,415
1764373224.6017618,512,410
1764373224.6355093,514,415
1764373224.670152,513,416
1764373224.7056744,496,405
1764373224.735009,497,428
1764373224.7748663,531,461
1764373224.8402205,540,295
1764373224.8699684,535,217
1764373224.8999076,497,319
1764373224.9403183,453,451
1764373224.981765,474,448
1764373225.019818,468,429
1764373225.0604615,455,416
1764373225.0909646,473,411
1764373225.1150305,489,440
1764373225.1505613,487,475
1764373225.180422,466,489
1764373225.209965,459,486
1764373225.2450745,470,475
1764373225.275133,483,442
1764373225.3050997,500,415
1764373225.3349733,509,410
1764373225.3851573,526,413
1764373225.4255621,516,410
1764373225.4458902,521,409
1764373225.4756732,538,397
1764373225.5055532,556,397
1764373225.5407703,557,405
1764373225.5755494,547,416
1764373225.6058896,529,439
1764373225.644778,525,458
1764373225.6700325,546,458
1764373225.7105634,544,465
1764373225.7404444,525,441
1764373225.7757096,508,427
1764373225.8147397,521,445
1764373225.842247,541,456
1764373225.8802524,546,453
1764373225.9158268,545,453
1764373225.9500015,526,455
1764373225.9858773,523,460
1764373226.0205579,526,465
1764373226.0600488,536,472
1764373226.1057553,529,457
1764373226.1454964,532,446
1764373226.179911,535,429
1764373226.2147284,525,422
1764373226.2504835,521,423
1764373226.2855513,496,434
1764373226.315839,491,453
1764373226.3497252,485,442
1764373226.3812578,472,433
1764373226.410466,469,404
1764373226.4458117,466,398
1764373226.475163,473,384
1764373226.5153313,480,390
1764373226.5458903,472,388
1764373226.5749032,487,399
1764373226.6149113,488,387
1764373226.645711,504,401
1764373226.6952827,519,410
1764373226.7352338,526,418
1764373226.755999,531,417
1764373226.7855587,531,414
1764373226.8199804,532,405
1764373226.8502162,531,397
1764373226.8802898,512,402
1764373226.9153895,518,392
1764373226.949807,515,380
1764373226.9855895,521,385
1764373227.01522,493,391
1764373227.0650449,500,393
1764373227.1055176,503,396
1764373227.1303346,503,404
1764373227.1708953,502,405
1764373227.2052798,486,408
1764373227.2450163,486,396
1764373227.2749732,504,401
1764373227.30555,514,419
1764373227.3353474,504,428
1764373227.366809,496,416
1764373227.4005928,486,413
1764373227.430726,485,421
1764373227.460292,487,428
1764373227.4956338,486,422
1764373227.5248873,490,417
1764373227.5547874,489,412
1764373227.5855868,483,415
1764373227.6201024,483,408
1764373227.6508114,478,418
1764373227.6898856,497,416
1764373227.7206905,512,413
1764373227.7555275,509,411
1764373227.7850251,500,403
