timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T21:22:51.345,9,1398,774,1377,826,-21,52,34.13,99
2025-10-16T21:22:57.757,2,283,238,239,290,-44,52,41.03,102
2025-10-16T21:23:04.160,0,1621,596,1622,574,1,-22,52.96,99
2025-10-16T21:23:10.580,5,1621,953,1627,959,6,6,32.85,100
2025-10-16T21:23:16.987,10,729,596,719,633,-10,37,45.19,101
2025-10-16T21:23:23.401,6,729,953,714,988,-15,35,53.42,101
2025-10-16T21:23:29.808,3,952,774,956,826,4,52,65.18,100
2025-10-16T21:23:36.215,7,506,417,507,405,1,-12,43.37,99
2025-10-16T21:23:42.639,8,283,596,294,589,11,-7,42.71,101
2025-10-16T21:23:49.045,11,729,238,757,217,28,-21,49.7,98
2025-10-16T21:23:55.459,4,1621,238,1673,270,52,32,29.16,100
2025-10-16T21:24:01.870,1,506,774,488,800,-18,26,48.52,100
