model,mean_error,variance
similarity,58.669659726091794,1862.227360691576
poly,54.566629748901,1643.574463632288
"rbf[thin_plate,s=1.0]",56.643529758649116,2126.1600116592203
"rbf[multiquadric,s=0.0]",61.27018139964174,2314.8829664411574
"rbf[multiquadric,s=1.0]",100.8214939143413,3683.633962842736
"rbf[multiquadric,s=2.0]",152.7725008651421,8973.357454573328
tps,56.159533608986195,2029.193499062901
pwa,67.71405096150477,5914.471632173961
gpr,61.09166927721758,2266.531272312154
"sim+rbf[thin_plate,s=1.0]",56.44922719209364,2101.360761287213
"sim+rbf[multiquadric,s=0.0]",58.2190096652622,2382.2494840090276
"sim+rbf[multiquadric,s=1.0]",52.19174452095265,1505.6407343298783
"sim+rbf[multiquadric,s=2.0]",53.028216428136155,1537.0678678962322
sim+tps,56.15953361950947,2029.1935027760437
sim+pwa,67.71405096150477,5914.471632173961
sim+gpr,56.45416497178644,1731.141599067848
