timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-17T12:01:23.277,3,1621,238,1631,295,10,57,50.28,119
2025-10-17T12:01:29.703,10,1175,953,1245,911,70,-42,29.57,118
2025-10-17T12:01:36.108,13,952,417,937,372,-15,-45,41.03,118
2025-10-17T12:01:42.511,2,1175,238,1159,213,-16,-25,47.6,118
2025-10-17T12:01:48.927,8,283,953,337,907,54,-46,63.52,118
2025-10-17T12:01:55.334,6,1175,596,1159,521,-16,-75,60.41,118
2025-10-17T12:02:01.741,9,729,953,749,943,20,-10,60.61,117
2025-10-17T12:02:08.139,12,506,417,508,438,2,21,51.31,119
2025-10-17T12:02:14.558,7,1621,596,1594,608,-27,12,41.91,115
2025-10-17T12:02:20.983,17,1398,774,1403,717,5,-57,49.87,119
2025-10-17T12:02:27.388,11,1621,953,1630,992,9,39,58.03,119
2025-10-17T12:02:33.799,1,729,238,758,208,29,-30,58.29,119
2025-10-17T12:02:40.198,4,283,596,299,533,16,-63,42.01,119
2025-10-17T12:02:46.602,5,729,596,765,562,36,-34,41.12,118
2025-10-17T12:02:53.012,16,952,774,938,772,-14,-2,59.51,119
2025-10-17T12:02:59.435,14,1398,417,1397,367,-1,-50,53.9,120
2025-10-17T12:03:05.852,15,506,774,519,760,13,-14,41.77,119
2025-10-17T12:03:12.267,0,283,238,356,213,73,-25,45.98,120
