model,mean_error,variance
similarity,58.97861071015798,1971.9990840523815
poly,57.17004306545213,2048.168279219216
"rbf[thin_plate,s=1.0]",62.07325801670798,2700.8844670467806
"rbf[multiquadric,s=0.0]",66.79012858662348,2559.2750519679953
"rbf[multiquadric,s=1.0]",159.45403575993572,17478.02521823803
"rbf[multiquadric,s=2.0]",244.6229567328609,38933.73592302984
tps,55.50974121171002,1836.2796881362317
pwa,134.91411190868754,21190.570462237567
gpr,66.37695037136476,2585.0331985794396
"sim+rbf[thin_plate,s=1.0]",56.5218826932768,2011.6256804664754
"sim+rbf[multiquadric,s=0.0]",55.9393492913793,1866.7976279324607
"sim+rbf[multiquadric,s=1.0]",52.28074864483319,1546.1788979135165
"sim+rbf[multiquadric,s=2.0]",52.91899162684277,1583.6763501512667
sim+tps,55.50974121715445,1836.2796886368785
sim+pwa,134.91411190868754,21190.570462237563
sim+gpr,54.90673031286568,1788.818550502846
