x,y
1764311737.8454137,1671,957
1764311737.8756318,1680,952
1764311737.9052515,1688,945
1764311737.9356182,1676,947
1764311737.9653707,1672,948
1764311737.9956446,1667,950
1764311738.0250275,1676,956
1764311738.0555646,1678,953
1764311738.0899844,1678,947
1764311738.1200733,1680,938
1764311738.1650429,1690,939
1764311738.205301,1695,943
1764311738.229751,1646,930
1764311738.2599342,1533,850
1764311738.289818,1507,778
1764311738.325112,1527,771
1764311738.3652897,1478,798
1764311738.3906145,1435,802
1764311738.4256542,1428,797
1764311738.4647741,1428,800
1764311738.4953268,1403,801
1764311738.530581,1423,793
1764311738.5724652,1434,787
1764311738.606521,1425,772
1764311738.6447585,1431,748
1764311738.6808417,1430,729
1764311738.709891,1404,738
1764311738.745121,1393,755
1764311738.7703037,1394,768
1764311738.8048882,1377,767
1764311738.8448079,1345,760
1764311738.8714323,1326,753
1764311738.9004483,1332,752
1764311738.9306698,1340,750
1764311738.9652805,1350,758
1764311738.9950364,1349,763
1764311739.025526,1360,759
1764311739.0747693,1358,762
1764311739.1205635,1374,752
1764311739.1706543,1372,743
1764311739.2059212,1396,750
1764311739.2401597,1384,761
1764311739.2710195,1362,767
1764311739.3055437,1349,768
1764311739.350674,1376,760
1764311739.385492,1377,738
1764311739.4097967,1390,711
1764311739.4400287,1406,724
1764311739.4701717,1411,752
1764311739.5056512,1393,763
1764311739.534791,1364,773
1764311739.564895,1366,771
1764311739.5960329,1383,766
1764311739.6300666,1410,759
1764311739.6648014,1436,772
1764311739.7050533,1437,798
1764311739.745664,1421,798
1764311739.7856007,1420,756
1764311739.8150947,1409,737
