timestamp,target_index,target_x,target_y,orginal_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-10-19T16:03:42.400,2,1175,238,1166.8991596638655,295.94117647058823,,,,,-8,57,,,,,36.58,119
2025-10-19T16:03:48.806,0,283,238,289.52991452991455,249.46153846153845,,,,,6,10,,,,,38.49,117
2025-10-19T16:03:55.213,8,283,953,307.0762711864407,903.7881355932203,,,,,24,-49,,,,,46.62,118
2025-10-19T16:04:01.621,10,1175,953,1200.6271186440679,845.6949152542373,,,,,25,-107,,,,,55.03,118
2025-10-19T16:04:08.031,6,1175,596,1184.8559322033898,608.8813559322034,,,,,9,12,,,,,45.66,118
2025-10-19T16:04:14.435,11,1621,953,1597.5086206896551,914.5086206896551,,,,,-23,-38,,,,,49.63,116
2025-10-19T16:04:20.839,7,1621,596,1610.0588235294117,619.8319327731092,,,,,-10,23,,,,,45.81,119
2025-10-19T16:04:27.249,3,1621,238,1584.2372881355932,266.49152542372883,,,,,-36,27,,,,,40.58,118
2025-10-19T16:04:33.658,9,729,953,733.982905982906,891.965811965812,,,,,4,-61,,,,,51.47,117
2025-10-19T16:04:40.067,4,283,596,290.03361344537814,571.1932773109244,,,,,7,-24,,,,,34.93,119
2025-10-19T16:04:46.463,5,729,596,734.6470588235294,569.8739495798319,,,,,5,-26,,,,,40.56,119
2025-10-19T16:04:52.873,1,729,238,721.6302521008404,240.61344537815125,,,,,-7,1,,,,,44.29,119
