x,y
722,82
731,81
734,73
731,55
741,40
741,39
731,49
722,63
726,70
734,75
731,65
728,55
710,61
709,77
701,81
701,84
694,80
692,73
696,76
702,79
704,84
705,81
703,91
710,94
714,91
711,90
696,93
684,83
672,75
676,75
706,83
705,89
702,90
706,92
711,94
714,94
721,88
730,80
732,79
731,75
729,72
731,68
726,59
718,50
724,54
719,57
710,71
695,85
692,90
701,110
702,112
705,112
710,108
713,103
708,101
704,95
701,86
704,72
713,63
718,69
727,71
733,72
727,65
706,68
711,66
704,56
700,52
700,54
696,53
692,50
686,43
682,39
682,40
686,46
693,81
683,93
681,101
687,105
693,112
696,115
700,115
709,113
704,115
692,109
689,105
685,99
677,100
682,96
688,97
690,101
686,105
679,106
680,104
692,101
691,104
680,116
671,117
677,116
688,120
699,127
700,134
685,139
674,138
677,132
691,109
701,96
706,88
704,93
696,90
693,88
691,91
693,92
694,78
700,69
710,70
709,85
702,99
681,113
