x,y
323,194
335,182
315,172
351,148
369,135
359,162
344,187
360,180
379,167
337,178
321,179
318,173
324,188
340,206
334,198
326,197
338,210
349,217
352,215
357,210
332,223
304,240
266,236
243,216
247,214
262,228
286,235
297,227
291,220
279,212
276,202
274,198
279,207
296,213
292,215
275,218
290,221
296,208
289,199
294,213
283,220
284,235
286,236
283,215
272,212
278,212
305,199
327,183
329,188
297,206
275,219
269,229
278,250
286,249
304,218
319,211
337,205
340,209
339,215
338,221
323,214
311,187
315,183
336,210
349,239
348,247
342,221
343,190
336,200
336,181
332,159
328,173
304,178
301,160
303,168
299,212
302,243
301,239
308,212
326,193
341,178
339,167
354,189
365,197
362,198
347,221
339,239
342,238
338,224
334,225
329,232
327,216
321,204
340,230
342,241
344,237
339,240
329,251
330,242
336,239
335,242
