x,y
1364,773
1377,763
1384,762
1369,775
1358,768
1346,781
1341,811
1342,814
1355,816
1374,803
1376,771
1349,764
1331,774
1329,769
1338,784
1332,785
1340,761
1325,755
1315,766
1350,766
1362,756
1363,746
1362,748
1374,755
1391,723
1376,695
1353,713
1347,723
1358,720
1348,720
1341,699
1360,699
1382,703
1368,715
1382,722
1400,713
1371,708
1354,701
1357,717
1341,728
1329,737
1314,734
1301,731
1293,736
1297,730
1303,737
1272,747
1274,748
1333,750
1351,754
1346,770
1356,790
1353,796
1355,797
1362,789
1358,790
1358,805
1378,818
1389,824
1387,833
1387,829
1395,826
1382,818
1367,801
1370,789
1374,792
1371,788
1358,777
1359,778
1359,770
1362,765
1376,776
1376,780
1368,775
1353,779
1350,802
1343,788
1348,768
1358,766
1382,767
1397,768
1386,773
1377,780
1378,778
1384,777
1374,790
1363,799
1369,783
1384,774
1384,784
1388,792
1371,788
1388,777
1398,759
1391,735
1382,729
1388,736
1395,770
1404,810
1408,841
1404,849
1393,843
