x,y
1573,940
1611,952
1639,940
1635,915
1642,922
1637,915
1610,900
1577,898
1579,930
1580,936
1567,924
1577,924
1577,930
1578,927
1585,933
1551,908
1558,904
1558,909
1553,911
1555,917
1551,910
1546,911
1549,905
1535,904
1526,884
1529,877
1534,889
1549,887
1540,881
1514,870
1510,902
1522,915
1527,890
1537,900
1543,906
1547,901
1545,908
1538,900
1520,886
1504,896
1495,917
1486,941
1518,936
1539,938
1551,930
1556,915
1528,935
1524,941
1559,930
1548,929
1526,933
1528,940
1536,940
1517,952
1519,965
1551,965
1598,970
1588,986
1607,994
1604,999
1539,969
1503,935
1492,929
1470,924
1474,924
1480,942
1477,942
1484,940
1496,946
1492,949
1495,948
1508,940
1502,937
1500,925
1532,921
1551,924
1556,933
1570,937
1584,954
1587,957
1581,941
1563,942
1537,935
1544,926
1549,921
1532,915
1518,931
1519,930
1516,924
1490,917
1478,907
1476,917
1482,918
1499,925
1508,930
1510,927
1528,923
