timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,spread,n_sample
2025-10-16T21:55:00.815,5,729,596,723.5131578947369,567.1315789473684,40.61365972127701,76
2025-10-16T21:55:07.219,7,1621,596,1569.8648648648648,629.1486486486486,35.65715377098234,74
2025-10-16T21:55:13.641,2,1175,238,1158.9166666666667,304.375,28.15492235431982,72
2025-10-16T21:55:20.052,6,1175,596,1150.0533333333333,613.2,43.95873620668466,75
2025-10-16T21:55:26.461,10,1175,953,1129.6973684210527,853.4605263157895,26.191330690213125,76
2025-10-16T21:55:32.864,1,729,238,715.0,247.80263157894737,31.596143892321194,76
2025-10-16T21:55:39.274,8,283,953,277.35616438356163,881.5068493150685,49.64490155800188,73
2025-10-16T21:55:45.684,16,952,774,924.0540540540541,717.7432432432432,30.428006614951506,74
2025-10-16T21:55:52.087,15,506,774,514.5866666666667,759.5466666666666,28.579893476203004,75
2025-10-16T21:55:58.510,13,952,417,973.3815789473684,401.2236842105263,48.581880364215955,76
2025-10-16T21:56:04.912,4,283,596,290.36,575.8666666666667,25.29346336287083,75
2025-10-16T21:56:11.309,11,1621,953,1544.388888888889,925.0138888888889,48.41029751885644,72
2025-10-16T21:56:17.719,14,1398,417,1365.44,426.49333333333334,28.25012723668495,75
2025-10-16T21:56:24.129,17,1398,774,1353.9605263157894,763.5,44.05527054599582,76
2025-10-16T21:56:30.541,3,1621,238,1578.2297297297298,290.6621621621622,41.58053869245457,74
2025-10-16T21:56:36.958,12,506,417,542.44,381.2133333333333,36.79113419773241,75
2025-10-16T21:56:43.372,9,729,953,724.5833333333334,827.1805555555555,39.05483196342494,72
2025-10-16T21:56:49.792,0,283,238,312.46666666666664,203.8,38.77502059602577,75
