timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T21:55:00.815,5,729,596,719,691,-10,95,42.83,102
2025-10-16T21:55:07.219,7,1621,596,1613,594,-8,-2,34.35,99
2025-10-16T21:55:13.641,2,1175,238,1175,298,0,60,36.74,97
2025-10-16T21:55:20.052,6,1175,596,1189,680,14,84,43.53,101
2025-10-16T21:55:26.461,10,1175,953,1123,975,-52,22,28.67,102
2025-10-16T21:55:32.864,1,729,238,704,286,-25,48,35.16,102
2025-10-16T21:55:39.274,8,283,953,232,949,-51,-4,50.51,98
2025-10-16T21:55:45.684,16,952,774,924,875,-28,101,29.25,99
2025-10-16T21:55:52.087,15,506,774,494,912,-12,138,31.04,101
2025-10-16T21:55:58.510,13,952,417,991,475,39,58,51.25,102
2025-10-16T21:56:04.912,4,283,596,256,647,-27,51,25.98,101
2025-10-16T21:56:11.309,11,1621,953,1591,983,-30,30,45.81,97
2025-10-16T21:56:17.719,14,1398,417,1397,435,-1,18,30.46,100
2025-10-16T21:56:24.129,17,1398,774,1394,817,-4,43,44.05,102
2025-10-16T21:56:30.541,3,1621,238,1594,265,-27,27,38.43,99
2025-10-16T21:56:36.958,12,506,417,524,460,18,43,42.2,101
2025-10-16T21:56:43.372,9,729,953,718,1031,-11,78,37.36,96
2025-10-16T21:56:49.792,0,283,238,283,236,0,-2,38.15,101
