timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,spread,n_sample
2025-11-27T15:15:32.867,5,689,596,704.1379310344828,549.7068965517242,52.31484819112452,58
2025-11-27T15:15:39.276,10,1215,1060,1221.95,1028.45,30.65063892754385,60
2025-11-27T15:15:45.676,7,1741,596,1768.8909090909092,627.9818181818182,71.72248630187268,55
2025-11-27T15:15:52.067,13,952,364,940.9473684210526,399.9824561403509,29.55809758181676,57
2025-11-27T15:15:58.462,15,426,828,445.10169491525426,836.8813559322034,29.779858772483276,59
2025-11-27T15:16:04.867,6,1215,596,1205.4745762711864,626.7118644067797,31.523683203273908,59
2025-11-27T15:16:11.272,17,1478,828,1459.6271186440679,842.6949152542373,11.987497077460814,59
2025-11-27T15:16:17.676,11,1741,1060,1715.9473684210527,1001.0877192982456,82.37988635335988,57
2025-11-27T15:16:24.066,8,163,1060,146.8135593220339,1031.7118644067796,74.23817041500335,59
2025-11-27T15:16:30.458,14,1478,364,1525.677966101695,394.1525423728813,46.485373765791756,59
2025-11-27T15:16:36.851,12,426,364,462.6779661016949,336.49152542372883,36.68224230218214,59
2025-11-27T15:16:43.256,9,689,1060,752.3898305084746,1046.5084745762713,18.145728199266163,59
2025-11-27T15:16:49.646,1,689,132,691.5084745762712,136.40677966101694,19.4016350223322,59
2025-11-27T15:16:56.035,2,1215,132,1243.7796610169491,156.5084745762712,57.82804453590237,59
2025-11-27T15:17:02.425,0,163,132,177.13793103448276,137.70689655172413,59.39855359220973,58
2025-11-27T15:17:08.830,3,1741,132,1670.45,207.08333333333334,44.68807322864669,60
2025-11-27T15:17:15.226,16,952,828,899.6440677966102,802.8644067796611,34.89219248251267,59
2025-11-27T15:17:21.631,4,163,596,150.96491228070175,595.8771929824561,50.97919599337068,57
