x,y
1764468558.3470802,191,607
1764468558.3768618,210,605
1764468558.4074378,206,602
1764468558.437279,205,602
1764468558.487472,196,602
1764468558.5228348,185,603
1764468558.5477493,171,611
1764468558.592535,174,605
1764468558.6278133,177,606
1764468558.662747,184,597
1764468558.68825,349,598
1764468558.7175946,735,762
1764468558.7474127,511,729
1764468558.7769184,461,810
1764468558.8079407,473,842
1764468558.8527424,475,866
1764468558.8919535,480,871
1764468558.912127,497,863
1764468558.9468596,483,877
1764468558.9828749,478,885
1764468559.0171037,480,900
1764468559.0473998,508,906
1764468559.0778358,528,889
1764468559.1118414,534,873
1764468559.1427033,529,860
1764468559.1774578,532,860
1764468559.2126017,537,853
1764468559.2490911,548,848
1764468559.2770479,553,840
1764468559.3173275,575,818
1764468559.3568485,596,796
1764468559.3967886,589,804
1764468559.4225423,553,814
1764468559.4525657,546,820
1764468559.4827816,550,814
1764468559.5135813,557,822
1764468559.542865,555,841
1764468559.5770106,536,852
1764468559.6124918,518,842
1764468559.6529758,508,831
1764468559.6821752,479,825
1764468559.7170422,460,824
1764468559.7469313,464,827
1764468559.776985,465,809
1764468559.8074677,468,817
1764468559.852179,457,824
1764468559.8820963,460,839
1764468559.917723,462,835
1764468559.9475899,469,846
1764468559.9825048,469,852
1764468560.0176938,462,837
1764468560.0471625,467,822
1764468560.0776262,481,821
1764468560.1169286,501,830
1764468560.1468456,510,836
1764468560.1822827,504,826
1764468560.2181036,497,809
1764468560.2523963,480,815
1764468560.282735,472,826
1764468560.3169706,470,819
