x,y
1764367614.8385646,972,399
1764367614.869074,973,398
1764367614.9034755,964,401
1764367614.9387476,962,403
1764367614.9734008,961,557
1764367615.0094717,968,382
1764367615.0484192,967,373
1764367615.0788035,968,374
1764367615.1088343,966,386
1764367615.1488738,964,385
1764367615.1837525,965,373
1764367615.2283819,966,361
1764367615.2823808,972,353
1764367615.313729,973,352
1764367615.3494155,1016,737
1764367615.386081,1008,752
1764367615.4233825,997,751
1764367615.4583323,997,749
1764367615.498487,998,755
1764367615.5284941,1001,760
1764367615.5731933,999,761
1764367615.613965,1002,752
1764367615.6488228,997,754
1764367615.6941032,992,755
1764367615.7332897,992,760
1764367615.7736125,1021,803
1764367615.813655,1020,787
1764367615.8494027,1013,784
1764367615.879318,1016,783
1764367615.9086916,1019,783
1764367615.9441154,1017,784
1764367615.9737554,1023,786
1764367616.0135992,1018,790
1764367616.048665,1019,868
1764367616.0830915,1017,872
1764367616.118641,1014,874
1764367616.1491213,1017,883
1764367616.1833508,1008,885
1764367616.2133257,1005,884
1764367616.2483213,1006,878
1764367616.2836351,1009,870
1764367616.3288934,1001,869
1764367616.3749874,1001,863
1764367616.4140718,1000,862
1764367616.4487588,1001,859
1764367616.4832146,1006,861
1764367616.5137508,997,838
1764367616.5487888,992,814
1764367616.5831404,995,819
1764367616.6192763,995,821
1764367616.6530328,993,817
1764367616.6833572,988,816
1764367616.7238152,989,820
1764367616.7536805,988,819
1764367616.7893872,991,819
