x,y
1764367512.4158173,760,1060
1764367512.4542274,777,1057
1764367512.4894893,778,1055
1764367512.5305367,786,1059
1764367512.579797,781,1053
1764367512.614304,776,1051
1764367512.6494234,806,713
1764367512.689567,818,480
1764367512.7291574,850,504
1764367512.764248,880,506
1764367512.7992005,873,498
1764367512.8363724,868,487
1764367512.8742738,863,489
1764367512.9042187,857,486
1764367512.9399862,864,488
1764367512.9702406,871,496
1764367513.0099528,874,499
1764367513.0449483,874,509
1764367513.0848334,832,484
1764367513.119374,211,102
1764367513.1644614,189,66
1764367513.2147176,205,86
1764367513.2543063,187,82
1764367513.2896526,188,113
1764367513.3241687,185,133
1764367513.3598309,84,102
1764367513.3898857,83,83
1764367513.4248,79,72
1764367513.4598289,70,86
1764367513.4891796,79,94
1764367513.5247114,90,95
1764367513.5598173,88,87
1764367513.6002529,79,62
1764367513.6341364,63,40
1764367513.6642866,72,47
1764367513.6994567,94,68
1764367513.7348998,102,82
1764367513.7701387,82,62
1764367513.810132,67,39
1764367513.8443713,113,23
1764367513.8800864,105,25
1764367513.9141045,111,37
1764367513.9493043,113,51
1764367513.9895937,116,52
1764367514.0254517,113,49
1764367514.059823,107,36
1764367514.094179,100,28
1764367514.129626,109,40
1764367514.159092,138,63
1764367514.194094,129,80
1764367514.229265,185,147
1764367514.264839,184,146
1764367514.3041995,189,154
1764367514.349894,190,146
