x,y
1764653023.8248186,909,404
1764653023.8602576,907,397
1764653023.8903763,911,402
1764653023.9204154,928,404
1764653023.9605322,938,409
1764653023.9857264,938,412
1764653024.014965,933,415
1764653024.05994,942,413
1764653024.086588,928,416
1764653024.1200118,920,421
1764653024.1555612,911,415
1764653024.1856325,910,408
1764653024.2263925,907,396
1764653024.2553344,895,395
1764653024.289727,888,395
1764653024.3199675,897,393
1764653024.355222,899,387
1764653024.3851519,903,388
1764653024.4256966,891,388
1764653024.4551773,887,393
1764653024.4897234,886,395
1764653024.5256717,893,402
1764653024.556229,917,410
1764653024.5901072,917,410
1764653024.6198597,916,412
1764653024.656093,923,401
1764653024.6951222,940,400
1764653024.7202492,937,398
1764653024.7607484,942,396
1764653024.7951262,944,391
1764653024.8353398,938,389
1764653024.88564,925,385
1764653024.9099293,923,383
1764653024.9351397,906,390
1764653024.9651012,894,402
1764653024.9951255,874,409
1764653025.0251765,868,415
1764653025.06084,873,407
1764653025.0899522,868,397
1764653025.131905,868,405
1764653025.1601253,865,399
1764653025.1946912,863,394
1764653025.2255778,866,398
1764653025.2607677,883,429
1764653025.3048038,887,434
1764653025.3402853,887,426
1764653025.3707178,885,417
1764653025.4003315,889,405
1764653025.430351,892,399
1764653025.4603999,899,395
1764653025.5051754,906,391
1764653025.5460622,907,387
1764653025.5756493,896,383
1764653025.6204472,901,389
1764653025.640288,897,404
1764653025.670708,900,403
1764653025.7046905,903,396
1764653025.7347245,909,387
1764653025.775049,904,376
1764653025.8002455,895,381
1764653025.830178,896,380
1764653025.8683698,896,379
1764653025.8998647,897,385
1764653025.944872,903,381
1764653025.984921,903,374
1764653026.0206468,902,365
1764653026.0648003,903,373
1764653026.0849197,909,388
1764653026.115802,899,394
1764653026.1448636,891,386
1764653026.1748352,884,386
1764653026.2048132,884,390
1764653026.2347903,888,397
1764653026.2655203,897,402
1764653026.295387,894,407
1764653026.3300264,894,408
1764653026.3652973,901,400
1764653026.4005318,907,388
1764653026.430651,912,386
1764653026.4762104,915,389
1764653026.5149543,917,389
1764653026.555486,919,387
1764653026.5747213,910,388
1764653026.6003394,900,393
1764653026.635192,899,402
1764653026.6749413,898,403
1764653026.715306,904,392
1764653026.7500942,901,373
1764653026.7900293,896,375
1764653026.8154297,900,373
1764653026.8406835,906,374
1764653026.8709903,905,387
1764653026.9005523,899,397
1764653026.9347398,887,402
1764653026.9648142,885,398
1764653027.0107355,892,394
1764653027.0507932,899,385
1764653027.092186,910,398
1764653027.124956,915,410
1764653027.155686,909,397
1764653027.1850116,897,381
1764653027.2153525,889,373
1764653027.244814,899,388
1764653027.2708247,908,387
1764653027.3063176,923,380
1764653027.33519,915,367
1764653027.3705404,909,368
1764653027.4000099,924,375
1764653027.4402997,932,372
1764653027.4706721,934,367
1764653027.5121744,935,358
1764653027.5498312,926,363
1764653027.5903957,924,366
1764653027.6146934,922,361
1764653027.6408308,920,354
1764653027.6706738,913,350
1764653027.7056177,906,358
1764653027.7400842,904,352
1764653027.7747746,897,345
