subject,model,mean_error,variance
subject_001,similarity,87.7792796873706,2740.0742417531437
subject_001,poly,82.53688962899234,2503.4702325345365
subject_001,"rbf[thin_plate,s=1.0]",86.41244424835578,2453.5820918979293
subject_001,"rbf[multiquadric,s=0.0]",87.08243079959112,2123.8300045699107
subject_001,"rbf[multiquadric,s=1.0]",102.9540024544425,3882.894759782718
subject_001,"rbf[multiquadric,s=2.0]",142.33006935553928,6889.061270324562
subject_001,tps,86.41991079416538,2360.368511406242
subject_001,pwa,79.24637587705051,3746.3241098044346
subject_001,gpr,72.81474252378312,2498.869429268254
subject_001,"sim+rbf[thin_plate,s=1.0]",86.33915230505134,2374.8334965636914
subject_001,"sim+rbf[multiquadric,s=0.0]",87.30257755111431,2377.9599417999893
subject_001,"sim+rbf[multiquadric,s=1.0]",79.72342922447444,2536.6729243043455
subject_001,"sim+rbf[multiquadric,s=2.0]",78.92149386029844,2541.3185616626147
subject_001,sim+tps,86.41991079647435,2360.368511449969
subject_001,sim+pwa,79.24637587705048,3746.3241098044377
subject_001,sim+gpr,85.97906194069971,2365.075193385096
subject_002,similarity,78.2122636448313,2177.656950463306
subject_002,poly,80.33546922435944,1954.3089824189683
subject_002,"rbf[thin_plate,s=1.0]",82.85857310357547,2141.1405854725895
subject_002,"rbf[multiquadric,s=0.0]",82.42083060781404,2309.0502569245696
subject_002,"rbf[multiquadric,s=1.0]",84.733660704811,2055.7518951024776
subject_002,"rbf[multiquadric,s=2.0]",112.35272723856036,4833.92654239043
subject_002,tps,82.57613941249006,2210.011987364274
subject_002,pwa,74.83074402435705,3553.6822926846785
subject_002,gpr,76.80022955343973,1861.1329985596255
subject_002,"sim+rbf[thin_plate,s=1.0]",82.40769512148653,2140.2111293882167
subject_002,"sim+rbf[multiquadric,s=0.0]",83.87719493452865,2325.919745696337
subject_002,"sim+rbf[multiquadric,s=1.0]",73.33272684480308,1432.4776576712848
subject_002,"sim+rbf[multiquadric,s=2.0]",71.682754818563,1362.4988056966035
subject_002,sim+tps,82.57613942765336,2210.011989545139
subject_002,sim+pwa,74.83074402435706,3553.6822926846803
subject_002,sim+gpr,76.52499902139637,1985.9703355260897
subject_003,similarity,139.04132001359258,10933.078349984056
subject_003,poly,116.6329865020635,9582.335173494284
subject_003,"rbf[thin_plate,s=1.0]",122.11837119448128,8426.29707561109
subject_003,"rbf[multiquadric,s=0.0]",123.2328537274608,9871.833107878492
subject_003,"rbf[multiquadric,s=1.0]",129.17364611378764,7224.660175568567
subject_003,"rbf[multiquadric,s=2.0]",160.02549235711754,9320.725855394156
subject_003,tps,119.6934655770912,8310.759236925513
subject_003,pwa,113.97698127175798,8519.238319985676
subject_003,gpr,114.9651430778407,6006.298918551924
