timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-11-27T15:23:20.719,9,689,1060,718.2521008403361,907.1344537815127,,,,,29,-152,,,,,56.05,119
2025-11-27T15:23:27.138,13,952,364,967.3305084745763,363.8135593220339,,,,,15,0,,,,,31.72,118
2025-11-27T15:23:33.535,6,1215,596,1237.982905982906,608.4358974358975,,,,,22,12,,,,,20.67,117
2025-11-27T15:23:39.923,10,1215,1060,1253.0,1032.1764705882354,,,,,38,-27,,,,,42.69,119
2025-11-27T15:23:46.313,1,689,132,722.9495798319327,180.74789915966386,,,,,33,48,,,,,56.01,119
2025-11-27T15:23:52.723,0,163,132,160.57983193277312,113.68067226890756,,,,,-2,-18,,,,,44.89,119
2025-11-27T15:23:59.127,7,1741,596,1765.5,590.8695652173913,,,,,24,-5,,,,,87.01,46
2025-11-27T15:24:05.518,5,689,596,702.5126050420168,598.5966386554621,,,,,13,2,,,,,29.04,119
2025-11-27T15:24:11.908,8,163,1060,220.78070175438597,1016.2631578947369,,,,,57,-43,,,,,61.71,114
2025-11-27T15:24:18.298,14,1478,364,1485.09243697479,350.74789915966386,,,,,7,-13,,,,,54.31,119
2025-11-27T15:24:24.709,16,952,828,964.9661016949152,777.3474576271186,,,,,12,-50,,,,,42.39,118
2025-11-27T15:24:31.113,3,1741,132,1698.104347826087,96.01739130434783,,,,,-42,-35,,,,,44.72,115
2025-11-27T15:24:37.518,12,426,364,461.8434782608696,360.8086956521739,,,,,35,-3,,,,,37.74,115
2025-11-27T15:24:43.908,17,1478,828,1492.4444444444443,800.9316239316239,,,,,14,-27,,,,,25.92,117
2025-11-27T15:24:50.298,2,1215,132,1212.9663865546217,172.42857142857142,,,,,-2,40,,,,,35.68,119
2025-11-27T15:24:56.693,11,1741,1060,1801.967032967033,905.9230769230769,,,,,60,-154,,,,,54.45,91
2025-11-27T15:25:03.100,4,163,596,196.57142857142858,578.1680672268908,,,,,33,-17,,,,,36.03,119
2025-11-27T15:25:09.504,15,426,828,481.3833333333333,781.7666666666667,,,,,55,-46,,,,,28.1,120
