model,mean_error,variance
similarity,60.93879336742444,1997.1012602668873
poly,62.206539356219345,2370.504350484432
"rbf[thin_plate,s=1.0]",58.99175373899314,2136.6339052416733
"rbf[multiquadric,s=0.0]",61.496237006342156,1983.7353391709028
"rbf[multiquadric,s=1.0]",140.8276921973938,6475.304414329562
"rbf[multiquadric,s=2.0]",221.9745224662448,19160.063524373174
tps,57.35496126004685,2040.1683714440683
pwa,88.8355132802783,13418.82351219663
gpr,164.47202407942393,16554.81750279095
"sim+rbf[thin_plate,s=1.0]",57.67878380896482,2086.9140316847033
"sim+rbf[multiquadric,s=0.0]",57.818832913272075,2051.991920204861
"sim+rbf[multiquadric,s=1.0]",55.61276264068549,1700.1239215379765
"sim+rbf[multiquadric,s=2.0]",56.77163858006154,1734.3002573606746
sim+tps,57.354961262553566,2040.1683717689043
sim+pwa,88.8355132802783,13418.823512196632
sim+gpr,57.405871916718134,1905.9061727576902
