x,y
670,151
658,154
650,160
659,170
659,172
656,168
652,160
638,146
633,147
630,155
629,153
626,152
621,157
612,153
614,150
627,146
635,148
640,154
632,137
619,106
612,94
602,112
587,131
578,151
588,156
601,153
613,150
603,144
591,119
600,110
614,114
619,114
624,110
623,106
614,110
599,131
592,134
595,128
593,127
592,134
596,145
597,148
597,153
591,148
590,132
598,119
614,120
617,111
623,132
631,149
631,156
631,150
629,151
615,159
613,165
618,160
620,154
621,157
621,160
582,160
576,150
577,144
580,143
580,145
591,155
583,163
569,160
564,158
561,164
560,160
555,159
559,163
569,169
577,172
577,173
578,173
588,169
591,169
592,157
589,148
587,136
602,126
619,124
626,122
638,116
634,118
625,128
627,136
683,126
672,137
609,135
612,126
613,131
610,137
616,144
628,151
635,159
