model,mean_error,variance
similarity,59.69872774828091,2118.734202403679
poly,86.62495878406204,7955.407913364001
"rbf[thin_plate,s=1.0]",106.70958140576275,12000.186225914806
"rbf[multiquadric,s=0.0]",116.27932920938127,12597.354780945381
"rbf[multiquadric,s=1.0]",233.45620373740633,42496.374435607264
"rbf[multiquadric,s=2.0]",335.27346642197057,75637.02723551936
tps,59.121923161696294,2492.551423535681
pwa,163.26014083803358,15946.592161258888
gpr,231.06602501598002,22601.272641711617
"sim+rbf[thin_plate,s=1.0]",64.93040198956426,3727.7024563801965
"sim+rbf[multiquadric,s=0.0]",58.476668105457605,2207.6766138280723
"sim+rbf[multiquadric,s=1.0]",55.20924447460379,1898.3145835994637
"sim+rbf[multiquadric,s=2.0]",55.79340699965502,1910.358555357443
sim+tps,59.121923167021215,2492.55142513577
sim+pwa,163.2601408380336,15946.592161258886
sim+gpr,58.971380324529754,2095.7791586060307
